time,Solar8000/PLETH_SPO2,Solar8000/ETCO2,SNUADC/ECG_V5,Solar8000/PLETH_HR,SNUADC/ART,Solar8000/ART_SBP,Solar8000/ART_DBP,SNUADC/ECG_II,Solar8000/RR_CO2,Solar8000/HR,Solar8000/ART_MBP,SNUADC/CVP,Solar8000/CVP
193,100,,NaN,75,NaN,-3,-5,NaN,,75,-4,NaN,-22
194,,,NaN,,NaN,,,NaN,,,,NaN,
195,100,,NaN,75,NaN,-3,-5,NaN,,74,-4,NaN,-22
196,,,NaN,,NaN,,,NaN,,,,NaN,
197,100,,NaN,75,NaN,-2,-4,NaN,,74,-3,NaN,-22
198,,,NaN,,NaN,,,NaN,,,,NaN,
199,100,,NaN,73,NaN,-2,-4,NaN,,72,-3,NaN,-22
200,,,NaN,,NaN,,,NaN,,,,NaN,
201,100,,NaN,73,NaN,-3,-3,NaN,,72,-3,NaN,-21
202,,,NaN,,NaN,,,NaN,,,,NaN,
203,100,,NaN,72,NaN,-3,-3,NaN,,72,-3,NaN,-21
204,,,NaN,,NaN,,,NaN,,,,NaN,
205,100,,NaN,71,NaN,-3,-5,NaN,,72,-3,NaN,-22
206,,,NaN,,NaN,,,NaN,,,,NaN,
207,100,,NaN,71,NaN,-3,-5,NaN,,71,-3,NaN,-22
208,,,NaN,,NaN,,,NaN,,,,NaN,
209,100,,NaN,70,NaN,-3,-3,NaN,,70,-3,NaN,-22
210,,,NaN,,NaN,,,NaN,,,,NaN,
211,100,,NaN,70,NaN,-3,-3,NaN,,70,-3,NaN,-22
212,,,NaN,,NaN,,,NaN,,,,NaN,
213,100,,NaN,70,NaN,-4,-4,NaN,,69,-4,NaN,-22
214,,,NaN,,NaN,,,NaN,,,,NaN,
215,100,,NaN,70,NaN,-4,-4,NaN,,69,-4,NaN,-22
216,,,NaN,,NaN,,,NaN,,,,NaN,
217,100,,NaN,69,NaN,-3,-3,NaN,,69,-3,NaN,-21
218,,,NaN,,NaN,,,NaN,,,,NaN,
219,100,,NaN,69,NaN,-3,-3,NaN,,68,-3,NaN,-21
220,,,NaN,,NaN,,,NaN,,,,NaN,
221,100,,NaN,68,NaN,-3,-3,NaN,,68,-3,NaN,-22
222,,,NaN,,NaN,,,NaN,,,,NaN,
223,100,,NaN,67,NaN,-3,-3,NaN,,67,-3,NaN,-22
224,,,NaN,,NaN,,,NaN,,,,NaN,
225,100,,NaN,67,NaN,-3,-3,NaN,,66,-3,NaN,-22
226,,,NaN,,NaN,,,NaN,,,,NaN,
227,100,,NaN,67,NaN,-3,-3,NaN,,66,-3,NaN,-22
228,,,NaN,,NaN,,,NaN,,,,NaN,
229,100,,NaN,67,NaN,-3,-3,NaN,,66,-3,NaN,-22
230,,,NaN,,NaN,,,NaN,,,,NaN,
231,100,,NaN,67,NaN,-3,-3,NaN,,66,-3,NaN,-22
232,,,NaN,,NaN,,,NaN,,,,NaN,
233,100,,NaN,67,NaN,-3,-3,NaN,,66,-3,NaN,-22
234,,,NaN,,NaN,,,NaN,,,,NaN,
235,100,,NaN,68,NaN,-3,-3,NaN,,67,-3,NaN,-21
236,,,NaN,,NaN,,,NaN,,,,NaN,
237,100,,NaN,68,NaN,-4,-4,NaN,,67,-4,NaN,-21
238,,,NaN,,NaN,,,NaN,,,,NaN,
239,100,,NaN,69,NaN,-2,-5,NaN,,67,-4,NaN,-21
240,,,NaN,,NaN,,,NaN,,,,NaN,
241,100,,NaN,69,NaN,-2,-4,NaN,,68,-3,NaN,-21
242,,,NaN,,NaN,,,NaN,,,,NaN,
243,100,,NaN,69,NaN,-2,-4,NaN,,68,-3,NaN,-22
244,,,NaN,,NaN,,,NaN,,,,NaN,
245,100,,NaN,69,NaN,-3,-3,NaN,,68,-3,NaN,-22
246,,,NaN,,NaN,,,NaN,,,,NaN,
247,100,,NaN,69,NaN,-3,-3,NaN,,68,-3,NaN,-22
248,,,NaN,,NaN,,,NaN,,,,NaN,
249,100,,NaN,69,NaN,-3,-3,NaN,,68,-3,NaN,-22
250,,,NaN,,NaN,,,NaN,,,,NaN,
251,100,,NaN,69,NaN,-3,-3,NaN,,69,-3,NaN,-22
252,,,NaN,,NaN,,,NaN,,,,NaN,
253,100,,NaN,69,NaN,-3,-5,NaN,,69,-3,NaN,-22
254,,,NaN,,NaN,,,NaN,,,,NaN,
255,100,,NaN,69,NaN,-3,-5,NaN,,69,-3,NaN,-21
256,,,NaN,,NaN,,,NaN,,,,NaN,
257,100,,NaN,69,NaN,-4,-4,NaN,,69,-4,NaN,-21
258,,,NaN,,NaN,,,NaN,,,,NaN,
259,100,,NaN,69,NaN,-4,-4,NaN,,69,-4,NaN,-21
260,,,NaN,,NaN,,,NaN,,,,NaN,
261,100,,NaN,69,NaN,-3,-3,NaN,,69,-3,NaN,-21
262,,,NaN,,NaN,,,NaN,,,,NaN,
263,100,,NaN,68,NaN,-3,-3,NaN,,68,-3,NaN,-21
264,,,NaN,,NaN,,,NaN,,,,NaN,
265,100,,NaN,68,NaN,-2,-5,NaN,,67,-4,NaN,-22
266,,,NaN,,NaN,,,NaN,,,,NaN,
267,100,,NaN,67,NaN,-2,-5,NaN,,67,-4,NaN,-22
268,,,NaN,,NaN,,,NaN,,,,NaN,
269,100,,NaN,67,NaN,-2,-5,NaN,,67,-4,NaN,-22
270,,,NaN,,NaN,,,NaN,,,,NaN,
271,100,,NaN,66,NaN,-4,-4,NaN,,66,-4,NaN,-22
272,,,NaN,,NaN,,,NaN,,,,NaN,
273,100,,NaN,66,NaN,-4,-4,NaN,,66,-4,NaN,-22
274,,,NaN,,NaN,,,NaN,,,,NaN,
275,100,,NaN,66,NaN,-3,-3,NaN,,66,-3,NaN,-22
276,,,NaN,,NaN,,,NaN,,,,NaN,
277,100,,NaN,66,NaN,-3,-3,NaN,,65,-3,NaN,-21
