time,SNUADC/CVP,SNUADC/ECG_II,Solar8000/PLETH_SPO2,Solar8000/CVP,Solar8000/PLETH_HR,Solar8000/ART_MBP,Solar8000/ETCO2,SNUADC/ART,Solar8000/ART_DBP,Solar8000/ART_SBP,SNUADC/ECG_V5,Solar8000/RR_CO2,Solar8000/HR
7724,NaN,NaN,,,,,,NaN,,,NaN,,
7725,NaN,NaN,100,14,80,71,33,NaN,59,104,NaN,13,79
7726,NaN,NaN,,,,,,NaN,,,NaN,,
7727,NaN,NaN,100,14,79,73,33,NaN,60,108,NaN,13,79
7728,NaN,NaN,,,,,,NaN,,,NaN,,
7729,NaN,NaN,100,14,80,72,33,NaN,59,105,NaN,13,79
7730,NaN,NaN,,,,,,NaN,,,NaN,,
7731,NaN,NaN,100,14,80,73,33,NaN,61,108,NaN,13,79
7732,NaN,NaN,,,,,,NaN,,,NaN,,
7733,NaN,NaN,100,14,80,72,33,NaN,59,105,NaN,13,80
7734,NaN,NaN,,,,,,NaN,,,NaN,,
7735,NaN,NaN,100,14,80,72,33,NaN,60,107,NaN,13,80
7736,NaN,NaN,,,,,,NaN,,,NaN,,
7737,NaN,NaN,100,14,80,72,33,NaN,59,106,NaN,13,80
7738,NaN,NaN,,,,,,NaN,,,NaN,,
7739,NaN,NaN,100,14,80,71,33,NaN,59,105,NaN,13,79
7740,NaN,NaN,,,,,,NaN,,,NaN,,
7741,NaN,NaN,100,14,80,72,34,NaN,60,107,NaN,13,79
7742,NaN,NaN,,,,,,NaN,,,NaN,,
7743,NaN,NaN,100,14,80,71,34,NaN,59,105,NaN,13,79
7744,NaN,NaN,,,,,,NaN,,,NaN,,
7745,NaN,NaN,100,14,80,72,34,NaN,60,109,NaN,13,79
7746,NaN,NaN,,,,,,NaN,,,NaN,,
7747,NaN,NaN,100,14,80,71,34,NaN,59,105,NaN,13,80
7748,NaN,NaN,,,,,,NaN,,,NaN,,
7749,NaN,NaN,100,14,80,72,33,NaN,61,107,NaN,13,80
7750,NaN,NaN,,,,,,NaN,,,NaN,,
7751,NaN,NaN,100,14,80,72,33,NaN,60,106,NaN,13,80
7752,NaN,NaN,,,,,,NaN,,,NaN,,
7753,NaN,NaN,100,14,80,72,33,NaN,60,107,NaN,13,80
7754,NaN,NaN,,,,,,NaN,,,NaN,,
7755,NaN,NaN,100,14,80,72,33,NaN,60,108,NaN,13,79
7756,NaN,NaN,,,,,,NaN,,,NaN,,
7757,NaN,NaN,100,14,80,71,33,NaN,58,105,NaN,13,79
7758,NaN,NaN,,,,,,NaN,,,NaN,,
7759,NaN,NaN,100,14,79,72,33,NaN,59,107,NaN,13,79
7760,NaN,NaN,,,,,,NaN,,,NaN,,
7761,NaN,NaN,100,14,79,71,33,NaN,58,105,NaN,13,79
7762,NaN,NaN,,,,,,NaN,,,NaN,,
7763,NaN,NaN,100,14,79,72,33,NaN,60,108,NaN,13,79
7764,NaN,NaN,,,,,,NaN,,,NaN,,
7765,NaN,NaN,100,14,79,71,33,NaN,59,105,NaN,13,79
7766,NaN,NaN,,,,,,NaN,,,NaN,,
7767,NaN,NaN,100,14,79,72,33,NaN,60,106,NaN,13,79
7768,NaN,NaN,,,,,,NaN,,,NaN,,
7769,NaN,NaN,100,14,79,72,33,NaN,60,107,NaN,13,79
7770,NaN,NaN,,,,,,NaN,,,NaN,,
7771,NaN,NaN,100,14,80,72,33,NaN,60,107,NaN,13,79
7772,NaN,NaN,,,,,,NaN,,,NaN,,
7773,NaN,NaN,100,14,80,73,33,NaN,60,109,NaN,13,79
7774,NaN,NaN,,,,,,NaN,,,NaN,,
7775,NaN,NaN,100,14,80,71,33,NaN,58,105,NaN,13,79
7776,NaN,NaN,,,,,,NaN,,,NaN,,
7777,NaN,NaN,100,14,80,72,33,NaN,60,107,NaN,13,79
7778,NaN,NaN,,,,,,NaN,,,NaN,,
7779,NaN,NaN,100,14,80,71,33,NaN,58,104,NaN,13,79
7780,NaN,NaN,,,,,,NaN,,,NaN,,
7781,NaN,NaN,100,14,80,72,33,NaN,60,106,NaN,13,79
7782,NaN,NaN,,,,,,NaN,,,NaN,,
7783,NaN,NaN,100,14,80,72,33,NaN,59,106,NaN,13,80
7784,NaN,NaN,,,,,,NaN,,,NaN,,
7785,NaN,NaN,100,14,80,72,33,NaN,60,106,NaN,13,80
7786,NaN,NaN,,,,,,NaN,,,NaN,,
7787,NaN,NaN,100,13,80,73,33,NaN,61,109,NaN,13,80
