time,Solar8000/ART_MBP,Solar8000/ETCO2,SNUADC/ECG_II,SNUADC/ECG_V5,Solar8000/ART_DBP,SNUADC/CVP,Solar8000/CVP,Solar8000/ART_SBP,Solar8000/RR_CO2,Solar8000/PLETH_HR,Solar8000/HR,SNUADC/ART,Solar8000/PLETH_SPO2
190,-4,,NaN,NaN,-4,NaN,0,-4,,53,53,NaN,98
191,,,NaN,NaN,,NaN,,,,,,NaN,
192,-4,,NaN,NaN,-4,NaN,0,-4,,54,53,NaN,98
193,,,NaN,NaN,,NaN,,,,,,NaN,
194,-5,,NaN,NaN,-5,NaN,0,-5,,54,53,NaN,97
195,,,NaN,NaN,,NaN,,,,,,NaN,
196,-5,,NaN,NaN,-5,NaN,0,-5,,54,54,NaN,98
197,,,NaN,NaN,,NaN,,,,,,NaN,
198,-5,,NaN,NaN,-5,NaN,0,-5,,55,54,NaN,98
199,,,NaN,NaN,,NaN,,,,,,NaN,
200,-5,,NaN,NaN,-5,NaN,0,-5,,55,54,NaN,98
201,,,NaN,NaN,,NaN,,,,,,NaN,
202,-5,,NaN,NaN,-5,NaN,0,-5,,55,54,NaN,97
203,,,NaN,NaN,,NaN,,,,,,NaN,
204,-5,,NaN,NaN,-5,NaN,0,-5,,54,54,NaN,97
205,,,NaN,NaN,,NaN,,,,,,NaN,
206,-5,,NaN,NaN,-5,NaN,0,-5,,54,54,NaN,97
207,,,NaN,NaN,,NaN,,,,,,NaN,
208,-5,,NaN,NaN,-5,NaN,0,-5,,54,53,NaN,97
209,,,NaN,NaN,,NaN,,,,,,NaN,
210,-5,,NaN,NaN,-5,NaN,0,-5,,54,53,NaN,97
211,,,NaN,NaN,,NaN,,,,,,NaN,
212,-4,,NaN,NaN,-4,NaN,0,-4,,55,54,NaN,97
213,,,NaN,NaN,,NaN,,,,,,NaN,
214,-5,,NaN,NaN,-5,NaN,0,-5,,55,54,NaN,97
215,,,NaN,NaN,,NaN,,,,,,NaN,
216,-5,,NaN,NaN,-5,NaN,0,-5,,56,54,NaN,98
217,,,NaN,NaN,,NaN,,,,,,NaN,
218,-5,,NaN,NaN,-5,NaN,0,-5,,57,55,NaN,98
219,,,NaN,NaN,,NaN,,,,,,NaN,
220,-5,,NaN,NaN,-5,NaN,0,-5,,57,57,NaN,98
221,,,NaN,NaN,,NaN,,,,,,NaN,
222,-5,,NaN,NaN,-5,NaN,0,-5,,59,60,NaN,96
223,,,NaN,NaN,,NaN,,,,,,NaN,
224,-5,,NaN,NaN,-5,NaN,0,-5,,61,63,NaN,98
225,,,NaN,NaN,,NaN,,,,,,NaN,
226,-5,,NaN,NaN,-5,NaN,0,-5,,62,63,NaN,98
227,,,NaN,NaN,,NaN,,,,,,NaN,
228,-5,,NaN,NaN,-5,NaN,0,-5,,61,61,NaN,98
229,,,NaN,NaN,,NaN,,,,,,NaN,
230,-5,,NaN,NaN,-5,NaN,0,-5,,61,60,NaN,98
231,,,NaN,NaN,,NaN,,,,,,NaN,
232,-5,,NaN,NaN,-5,NaN,0,-5,,59,58,NaN,98
233,,,NaN,NaN,,NaN,,,,,,NaN,
234,-5,,NaN,NaN,-5,NaN,0,-5,,58,56,NaN,98
235,,,NaN,NaN,,NaN,,,,,,NaN,
236,-5,,NaN,NaN,-5,NaN,0,-5,,56,55,NaN,98
237,,,NaN,NaN,,NaN,,,,,,NaN,
238,-5,,NaN,NaN,-5,NaN,0,-5,,55,54,NaN,98
239,,,NaN,NaN,,NaN,,,,,,NaN,
240,-5,,NaN,NaN,-5,NaN,0,-5,,55,54,NaN,98
241,,,NaN,NaN,,NaN,,,,,,NaN,
242,-4,,NaN,NaN,-4,NaN,0,-4,,54,53,NaN,98
243,,,NaN,NaN,,NaN,,,,,,NaN,
244,-4,,NaN,NaN,-4,NaN,0,-4,,54,53,NaN,98
245,,,NaN,NaN,,NaN,,,,,,NaN,
246,-5,,NaN,NaN,-5,NaN,0,-5,,54,53,NaN,98
247,,,NaN,NaN,,NaN,,,,,,NaN,
248,-5,,NaN,NaN,-5,NaN,0,-5,,53,53,NaN,99
