time,Solar8000/PLETH_SPO2,Solar8000/PLETH_HR,Solar8000/HR,Solar8000/ETCO2,SNUADC/ECG_V5,SNUADC/ART,SNUADC/ECG_II,Solar8000/ART_MBP,SNUADC/CVP,Solar8000/RR_CO2,Solar8000/ART_SBP,Solar8000/CVP,Solar8000/ART_DBP
4369,100,44,44,34,NaN,NaN,NaN,75,NaN,14,100,2,62
4370,,,,,NaN,NaN,NaN,,NaN,,,,
4371,100,44,44,34,NaN,NaN,NaN,75,NaN,14,100,2,62
4372,,,,,NaN,NaN,NaN,,NaN,,,,
4373,100,44,44,34,NaN,NaN,NaN,75,NaN,14,100,2,61
4374,,,,,NaN,NaN,NaN,,NaN,,,,
4375,100,44,44,34,NaN,NaN,NaN,74,NaN,14,99,2,61
4376,,,,,NaN,NaN,NaN,,NaN,,,,
4377,100,45,44,35,NaN,NaN,NaN,74,NaN,14,99,2,61
4378,,,,,NaN,NaN,NaN,,NaN,,,,
4379,100,45,44,35,NaN,NaN,NaN,74,NaN,14,98,2,61
4380,,,,,NaN,NaN,NaN,,NaN,,,,
4381,100,45,44,35,NaN,NaN,NaN,73,NaN,14,98,2,60
4382,,,,,NaN,NaN,NaN,,NaN,,,,
4383,100,45,44,35,NaN,NaN,NaN,73,NaN,14,98,2,60
4384,,,,,NaN,NaN,NaN,,NaN,,,,
4385,100,45,44,34,NaN,NaN,NaN,73,NaN,14,98,2,60
4386,,,,,NaN,NaN,NaN,,NaN,,,,
4387,100,45,44,34,NaN,NaN,NaN,73,NaN,14,97,2,59
4388,,,,,NaN,NaN,NaN,,NaN,,,,
4389,100,45,44,34,NaN,NaN,NaN,73,NaN,14,98,2,60
4390,,,,,NaN,NaN,NaN,,NaN,,,,
4391,100,45,44,34,NaN,NaN,NaN,72,NaN,14,97,2,60
4392,,,,,NaN,NaN,NaN,,NaN,,,,
4393,100,45,44,34,NaN,NaN,NaN,72,NaN,14,97,2,60
4394,,,,,NaN,NaN,NaN,,NaN,,,,
4395,100,45,44,34,NaN,NaN,NaN,72,NaN,14,97,1,59
4396,,,,,NaN,NaN,NaN,,NaN,,,,
4397,100,45,44,34,NaN,NaN,NaN,72,NaN,14,97,1,59
4398,,,,,NaN,NaN,NaN,,NaN,,,,
4399,100,45,45,34,NaN,NaN,NaN,72,NaN,14,97,2,59
4400,,,,,NaN,NaN,NaN,,NaN,,,,
4401,100,45,45,34,NaN,NaN,NaN,72,NaN,14,97,2,60
4402,,,,,NaN,NaN,NaN,,NaN,,,,
4403,100,45,45,34,NaN,NaN,NaN,72,NaN,14,97,2,59
4404,,,,,NaN,NaN,NaN,,NaN,,,,
4405,100,45,45,34,NaN,NaN,NaN,72,NaN,14,96,2,60
4406,,,,,NaN,NaN,NaN,,NaN,,,,
4407,100,45,45,34,NaN,NaN,NaN,72,NaN,14,97,2,60
4408,,,,,NaN,NaN,NaN,,NaN,,,,
4409,100,45,45,34,NaN,NaN,NaN,72,NaN,14,96,2,60
4410,,,,,NaN,NaN,NaN,,NaN,,,,
4411,100,45,45,34,NaN,NaN,NaN,72,NaN,14,97,2,59
4412,,,,,NaN,NaN,NaN,,NaN,,,,
4413,100,45,45,34,NaN,NaN,NaN,72,NaN,14,97,2,60
4414,,,,,NaN,NaN,NaN,,NaN,,,,
4415,100,45,45,34,NaN,NaN,NaN,72,NaN,14,97,2,60
4416,,,,,NaN,NaN,NaN,,NaN,,,,
4417,100,45,45,34,NaN,NaN,NaN,72,NaN,14,96,2,60
4418,,,,,NaN,NaN,NaN,,NaN,,,,
4419,100,45,45,34,NaN,NaN,NaN,72,NaN,14,97,2,60
4420,,,,,NaN,NaN,NaN,,NaN,,,,
4421,100,45,45,34,NaN,NaN,NaN,72,NaN,14,97,2,60
4422,,,,,NaN,NaN,NaN,,NaN,,,,
4423,100,45,45,34,NaN,NaN,NaN,72,NaN,14,97,2,60
4424,,,,,NaN,NaN,NaN,,NaN,,,,
4425,100,45,45,34,NaN,NaN,NaN,72,NaN,14,96,2,60
4426,,,,,NaN,NaN,NaN,,NaN,,,,
4427,100,45,45,34,NaN,NaN,NaN,72,NaN,14,97,2,60
4428,,,,,NaN,NaN,NaN,,NaN,,,,
4429,100,45,45,34,NaN,NaN,NaN,72,NaN,14,96,2,59
4430,,,,,NaN,NaN,NaN,,NaN,,,,
4431,100,45,45,34,NaN,NaN,NaN,72,NaN,14,96,2,60
4432,,,,,NaN,NaN,NaN,,NaN,,,,
4433,100,45,45,34,NaN,NaN,NaN,72,NaN,14,97,2,59
4434,,,,,NaN,NaN,NaN,,NaN,,,,
4435,100,45,45,33,NaN,NaN,NaN,72,NaN,14,96,2,60
4436,,,,,NaN,NaN,NaN,,NaN,,,,
4437,99,45,44,33,NaN,NaN,NaN,71,NaN,14,96,1,59
4438,,,,,NaN,NaN,NaN,,NaN,,,,
4439,100,44,44,33,NaN,NaN,NaN,71,NaN,14,95,1,60
4440,,,,,NaN,NaN,NaN,,NaN,,,,
4441,100,45,44,33,NaN,NaN,NaN,72,NaN,14,97,2,60
4442,,,,,NaN,NaN,NaN,,NaN,,,,
4443,100,45,44,34,NaN,NaN,NaN,72,NaN,14,96,2,59
4444,,,,,NaN,NaN,NaN,,NaN,,,,
4445,100,45,44,34,NaN,NaN,NaN,72,NaN,14,96,2,59
4446,,,,,NaN,NaN,NaN,,NaN,,,,
4447,100,45,45,34,NaN,NaN,NaN,71,NaN,14,94,2,59
4448,,,,,NaN,NaN,NaN,,NaN,,,,
4449,100,45,45,34,NaN,NaN,NaN,71,NaN,14,95,2,59
4450,,,,,NaN,NaN,NaN,,NaN,,,,
4451,100,45,45,34,NaN,NaN,NaN,71,NaN,14,94,2,59
4452,,,,,NaN,NaN,NaN,,NaN,,,,
4453,100,46,45,34,NaN,NaN,NaN,71,NaN,14,94,2,58
4454,,,,,NaN,NaN,NaN,,NaN,,,,
4455,100,46,46,34,NaN,NaN,NaN,71,NaN,14,94,2,59
4456,,,,,NaN,NaN,NaN,,NaN,,,,
4457,100,46,46,34,NaN,NaN,NaN,71,NaN,14,95,2,59
4458,,,,,NaN,NaN,NaN,,NaN,,,,
4459,100,46,46,34,NaN,NaN,NaN,71,NaN,14,94,1,58
4460,,,,,NaN,NaN,NaN,,NaN,,,,
4461,100,47,46,34,NaN,NaN,NaN,71,NaN,14,95,1,59
4462,,,,,NaN,NaN,NaN,,NaN,,,,
4463,100,47,47,34,NaN,NaN,NaN,71,NaN,14,95,1,59
4464,,,,,NaN,NaN,NaN,,NaN,,,,
4465,100,47,47,34,NaN,NaN,NaN,72,NaN,14,96,1,60
4466,,,,,NaN,NaN,NaN,,NaN,,,,
4467,100,48,48,34,NaN,NaN,NaN,72,NaN,14,96,1,60
4468,,,,,NaN,NaN,NaN,,NaN,,,,
4469,100,48,48,34,NaN,NaN,NaN,72,NaN,14,96,1,60
4470,,,,,NaN,NaN,NaN,,NaN,,,,
4471,100,48,48,34,NaN,NaN,NaN,72,NaN,14,96,1,59
4472,,,,,NaN,NaN,NaN,,NaN,,,,
4473,100,48,48,34,NaN,NaN,NaN,72,NaN,14,96,1,60
4474,,,,,NaN,NaN,NaN,,NaN,,,,
4475,100,48,48,34,NaN,NaN,NaN,72,NaN,14,96,1,59
4476,,,,,NaN,NaN,NaN,,NaN,,,,
4477,100,48,49,34,NaN,NaN,NaN,72,NaN,14,96,1,59
4478,,,,,NaN,NaN,NaN,,NaN,,,,
4479,100,48,48,34,NaN,NaN,NaN,72,NaN,14,96,1,59
4480,,,,,NaN,NaN,NaN,,NaN,,,,
4481,100,48,48,34,NaN,NaN,NaN,72,NaN,14,95,1,59
4482,,,,,NaN,NaN,NaN,,NaN,,,,
4483,100,48,48,34,NaN,NaN,NaN,72,NaN,14,96,1,59
4484,,,,,NaN,NaN,NaN,,NaN,,,,
4485,100,48,48,34,NaN,NaN,NaN,72,NaN,14,95,1,59
4486,,,,,NaN,NaN,NaN,,NaN,,,,
4487,100,48,48,34,NaN,NaN,NaN,72,NaN,14,95,1,59
4488,,,,,NaN,NaN,NaN,,NaN,,,,
4489,100,48,48,35,NaN,NaN,NaN,72,NaN,14,96,1,59
4490,,,,,NaN,NaN,NaN,,NaN,,,,
4491,100,48,48,35,NaN,NaN,NaN,72,NaN,14,96,1,59
4492,,,,,NaN,NaN,NaN,,NaN,,,,
4493,100,48,48,35,NaN,NaN,NaN,71,NaN,14,95,1,58
4494,,,,,NaN,NaN,NaN,,NaN,,,,
4495,100,49,48,35,NaN,NaN,NaN,71,NaN,14,95,1,59
4496,,,,,NaN,NaN,NaN,,NaN,,,,
4497,100,49,48,35,NaN,NaN,NaN,71,NaN,14,95,1,59
4498,,,,,NaN,NaN,NaN,,NaN,,,,
4499,100,49,48,35,NaN,NaN,NaN,71,NaN,14,95,1,59
4500,,,,,NaN,NaN,NaN,,NaN,,,,
4501,100,49,49,35,NaN,NaN,NaN,72,NaN,14,96,2,59
4502,,,,,NaN,NaN,NaN,,NaN,,,,
4503,100,49,49,35,NaN,NaN,NaN,72,NaN,14,96,2,60
4504,,,,,NaN,NaN,NaN,,NaN,,,,
4505,100,50,49,34,NaN,NaN,NaN,72,NaN,14,97,2,60
4506,,,,,NaN,NaN,NaN,,NaN,,,,
4507,100,50,49,34,NaN,NaN,NaN,72,NaN,14,96,2,60
4508,,,,,NaN,NaN,NaN,,NaN,,,,
4509,100,50,50,34,NaN,NaN,NaN,72,NaN,14,96,1,60
4510,,,,,NaN,NaN,NaN,,NaN,,,,
4511,100,50,50,34,NaN,NaN,NaN,72,NaN,14,96,1,60
4512,,,,,NaN,NaN,NaN,,NaN,,,,
4513,100,50,50,35,NaN,NaN,NaN,72,NaN,14,96,1,60
4514,,,,,NaN,NaN,NaN,,NaN,,,,
4515,100,50,50,35,NaN,NaN,NaN,72,NaN,14,96,1,60
4516,,,,,NaN,NaN,NaN,,NaN,,,,
4517,100,50,50,35,NaN,NaN,NaN,73,NaN,14,97,1,61
4518,,,,,NaN,NaN,NaN,,NaN,,,,
4519,100,50,50,35,NaN,NaN,NaN,73,NaN,14,97,2,61
4520,,,,,NaN,NaN,NaN,,NaN,,,,
4521,100,51,50,34,NaN,NaN,NaN,74,NaN,14,98,2,61
4522,,,,,NaN,NaN,NaN,,NaN,,,,
4523,100,51,50,34,NaN,NaN,NaN,73,NaN,14,97,1,61
4524,,,,,NaN,NaN,NaN,,NaN,,,,
4525,100,51,50,34,NaN,NaN,NaN,73,NaN,14,97,1,60
4526,,,,,NaN,NaN,NaN,,NaN,,,,
4527,100,50,50,34,NaN,NaN,NaN,73,NaN,14,96,1,60
4528,,,,,NaN,NaN,NaN,,NaN,,,,
4529,100,50,50,35,NaN,NaN,NaN,72,NaN,14,96,1,60
4530,,,,,NaN,NaN,NaN,,NaN,,,,
4531,100,50,49,35,NaN,NaN,NaN,72,NaN,14,96,1,60
4532,,,,,NaN,NaN,NaN,,NaN,,,,
4533,100,50,49,35,NaN,NaN,NaN,72,NaN,14,94,1,60
4534,,,,,NaN,NaN,NaN,,NaN,,,,
4535,100,50,49,35,NaN,NaN,NaN,72,NaN,14,95,1,59
4536,,,,,NaN,NaN,NaN,,NaN,,,,
4537,100,50,49,35,NaN,NaN,NaN,72,NaN,14,96,1,60
4538,,,,,NaN,NaN,NaN,,NaN,,,,
4539,100,49,49,35,NaN,NaN,NaN,73,NaN,14,99,1,61
4540,,,,,NaN,NaN,NaN,,NaN,,,,
4541,100,49,49,35,NaN,NaN,NaN,73,NaN,14,100,1,62
4542,,,,,NaN,NaN,NaN,,NaN,,,,
4543,100,49,49,35,NaN,NaN,NaN,74,NaN,14,101,1,62
