time,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/ART_SBP,Solar8000/PLETH_HR,Solar8000/ETCO2,Solar8000/ART_MBP,Solar8000/CVP,SNUADC/CVP,SNUADC/ECG_II,SNUADC/ART,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,Solar8000/HR
314,-4,,-4,90,0,-4,-13,NaN,NaN,NaN,100,NaN,90
315,,,,,,,,NaN,NaN,NaN,,NaN,
316,-4,,-4,90,0,-4,-13,NaN,NaN,NaN,100,NaN,89
317,,,,,,,,NaN,NaN,NaN,,NaN,
318,-4,,-4,90,0,-4,-13,NaN,NaN,NaN,100,NaN,89
319,,,,,,,,NaN,NaN,NaN,,NaN,
320,-4,,-4,89,0,-4,-12,NaN,NaN,NaN,100,NaN,89
321,,,,,,,,NaN,NaN,NaN,,NaN,
322,-4,,-4,89,0,-4,-12,NaN,NaN,NaN,100,NaN,88
323,,,,,,,,NaN,NaN,NaN,,NaN,
324,-4,,-4,89,0,-4,-12,NaN,NaN,NaN,100,NaN,88
325,,,,,,,,NaN,NaN,NaN,,NaN,
326,-5,,-5,89,0,-5,-12,NaN,NaN,NaN,100,NaN,88
327,,,,,,,,NaN,NaN,NaN,,NaN,
328,-5,,-5,88,0,-5,-12,NaN,NaN,NaN,100,NaN,88
329,,,,,,,,NaN,NaN,NaN,,NaN,
330,-4,,-4,88,0,-4,-12,NaN,NaN,NaN,100,NaN,88
331,,,,,,,,NaN,NaN,NaN,,NaN,
332,-4,,-4,88,0,-4,-12,NaN,NaN,NaN,100,NaN,88
333,,,,,,,,NaN,NaN,NaN,,NaN,
334,-4,,-4,88,0,-4,-13,NaN,NaN,NaN,100,NaN,88
335,,,,,,,,NaN,NaN,NaN,,NaN,
336,-4,,-4,88,0,-4,-13,NaN,NaN,NaN,100,NaN,88
337,,,,,,,,NaN,NaN,NaN,,NaN,
338,-4,,-4,88,0,-4,-13,NaN,NaN,NaN,100,NaN,87
339,,,,,,,,NaN,NaN,NaN,,NaN,
340,-4,,-4,88,0,-4,-13,NaN,NaN,NaN,100,NaN,87
341,,,,,,,,NaN,NaN,NaN,,NaN,
342,-4,,-4,88,0,-4,-12,NaN,NaN,NaN,100,NaN,87
343,,,,,,,,NaN,NaN,NaN,,NaN,
344,-4,,-4,88,0,-4,-12,NaN,NaN,NaN,100,NaN,87
345,,,,,,,,NaN,NaN,NaN,,NaN,
346,-4,,-4,88,0,-4,-13,NaN,NaN,NaN,100,NaN,87
347,,,,,,,,NaN,NaN,NaN,,NaN,
348,-4,,-4,88,0,-4,-13,NaN,NaN,NaN,100,NaN,88
349,,,,,,,,NaN,NaN,NaN,,NaN,
350,-4,,-4,88,0,-4,-13,NaN,NaN,NaN,100,NaN,88
351,,,,,,,,NaN,NaN,NaN,,NaN,
352,-4,,-4,89,0,-4,-13,NaN,NaN,NaN,100,NaN,88
353,,,,,,,,NaN,NaN,NaN,,NaN,
354,-4,,-4,89,0,-4,-13,NaN,NaN,NaN,100,NaN,89
355,,,,,,,,NaN,NaN,NaN,,NaN,
356,-4,,-4,89,0,-4,-13,NaN,NaN,NaN,100,NaN,89
357,,,,,,,,NaN,NaN,NaN,,NaN,
358,-4,,-4,89,0,-4,-13,NaN,NaN,NaN,100,NaN,88
359,,,,,,,,NaN,NaN,NaN,,NaN,
360,-4,,-4,88,0,-4,-13,NaN,NaN,NaN,100,NaN,88
361,,,,,,,,NaN,NaN,NaN,,NaN,
362,-5,,-5,88,0,-5,-13,NaN,NaN,NaN,100,NaN,87
363,,,,,,,,NaN,NaN,NaN,,NaN,
364,-5,,-5,88,0,-5,-13,NaN,NaN,NaN,100,NaN,87
365,,,,,,,,NaN,NaN,NaN,,NaN,
366,-5,,-5,87,0,-5,-13,NaN,NaN,NaN,100,NaN,87
367,,,,,,,,NaN,NaN,NaN,,NaN,
368,-5,,-5,87,0,-5,-12,NaN,NaN,NaN,100,NaN,86
369,,,,,,,,NaN,NaN,NaN,,NaN,
