time,SNUADC/ART,Solar8000/ART_DBP,SNUADC/ECG_II,Solar8000/PLETH_SPO2,Solar8000/RR_CO2,Solar8000/ETCO2,SNUADC/CVP,Solar8000/HR,Solar8000/PLETH_HR,Solar8000/ART_MBP,SNUADC/ECG_V5,Solar8000/CVP,Solar8000/ART_SBP
221,NaN,-11,NaN,100,,,NaN,73,74,-11,NaN,-26,-11
222,NaN,,NaN,,,,NaN,,,,NaN,,
223,NaN,-11,NaN,99,,,NaN,72,74,-11,NaN,-26,-11
224,NaN,,NaN,,,,NaN,,,,NaN,,
225,NaN,-11,NaN,99,,,NaN,72,73,-11,NaN,-26,-11
226,NaN,,NaN,,,,NaN,,,,NaN,,
227,NaN,-11,NaN,100,,,NaN,71,72,-11,NaN,-26,-11
228,NaN,,NaN,,,,NaN,,,,NaN,,
229,NaN,-11,NaN,99,,,NaN,71,72,-11,NaN,-26,-11
230,NaN,,NaN,,,,NaN,,,,NaN,,
231,NaN,-10,NaN,99,,,NaN,71,71,-10,NaN,-26,-10
232,NaN,,NaN,,,,NaN,,,,NaN,,
233,NaN,-10,NaN,99,,,NaN,71,71,-10,NaN,-26,-10
234,NaN,,NaN,,,,NaN,,,,NaN,,
235,NaN,-11,NaN,100,,,NaN,71,72,-11,NaN,-26,-11
236,NaN,,NaN,,,,NaN,,,,NaN,,
237,NaN,-11,NaN,99,,,NaN,71,72,-11,NaN,-26,-11
238,NaN,,NaN,,,,NaN,,,,NaN,,
239,NaN,-11,NaN,99,,,NaN,71,72,-11,NaN,-25,-11
240,NaN,,NaN,,,,NaN,,,,NaN,,
241,NaN,-11,NaN,99,,,NaN,71,72,-11,NaN,-25,-11
242,NaN,,NaN,,,,NaN,,,,NaN,,
243,NaN,-11,NaN,99,,,NaN,71,72,-11,NaN,-24,-11
244,NaN,,NaN,,,,NaN,,,,NaN,,
245,NaN,-11,NaN,99,,,NaN,71,71,-11,NaN,-24,-11
246,NaN,,NaN,,,,NaN,,,,NaN,,
247,NaN,-11,NaN,99,,,NaN,71,71,-11,NaN,-25,-11
248,NaN,,NaN,,,,NaN,,,,NaN,,
249,NaN,-11,NaN,99,,,NaN,71,71,-11,NaN,-25,-11
250,NaN,,NaN,,,,NaN,,,,NaN,,
251,NaN,-11,NaN,99,,,NaN,71,71,-11,NaN,-25,-11
252,NaN,,NaN,,,,NaN,,,,NaN,,
253,NaN,-11,NaN,100,,,NaN,70,71,-11,NaN,-25,-11
254,NaN,,NaN,,,,NaN,,,,NaN,,
255,NaN,-11,NaN,100,,,NaN,70,71,-11,NaN,-25,-11
256,NaN,,NaN,,,,NaN,,,,NaN,,
257,NaN,-11,NaN,99,,,NaN,70,71,-11,NaN,-25,-11
258,NaN,,NaN,,,,NaN,,,,NaN,,
