time,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,Solar8000/PLETH_HR,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/HR,Solar8000/ART_SBP,Solar8000/CVP,SNUADC/ECG_II,Solar8000/ETCO2,Solar8000/RR_CO2,SNUADC/ART,SNUADC/CVP
160,0,100,62,0,NaN,60,0,-7,NaN,0,,NaN,NaN
161,,,,,NaN,,,,NaN,,,NaN,NaN
162,0,100,62,0,NaN,59,0,-7,NaN,0,,NaN,NaN
163,,,,,NaN,,,,NaN,,,NaN,NaN
164,-1,100,61,-1,NaN,58,-1,-7,NaN,0,,NaN,NaN
165,,,,,NaN,,,,NaN,,,NaN,NaN
166,-1,100,61,-1,NaN,59,-1,-7,NaN,0,,NaN,NaN
167,,,,,NaN,,,,NaN,,,NaN,NaN
168,-1,100,61,-1,NaN,59,-1,-7,NaN,0,,NaN,NaN
169,,,,,NaN,,,,NaN,,,NaN,NaN
170,-1,100,61,-15,NaN,59,9,-7,NaN,0,,NaN,NaN
171,,,,,NaN,,,,NaN,,,NaN,NaN
172,-2,100,61,-18,NaN,59,14,-7,NaN,0,,NaN,NaN
173,,,,,NaN,,,,NaN,,,NaN,NaN
174,-2,100,61,-14,NaN,58,11,-6,NaN,0,,NaN,NaN
175,,,,,NaN,,,,NaN,,,NaN,NaN
176,-2,100,60,-14,NaN,58,11,-6,NaN,0,,NaN,NaN
177,,,,,NaN,,,,NaN,,,NaN,NaN
178,-2,100,60,-2,NaN,58,-2,0,NaN,0,,NaN,NaN
179,,,,,NaN,,,,NaN,,,NaN,NaN
180,-2,100,60,-2,NaN,58,-2,0,NaN,0,,NaN,NaN
181,,,,,NaN,,,,NaN,,,NaN,NaN
182,-2,100,60,-3,NaN,58,1,32,NaN,0,,NaN,NaN
183,,,,,NaN,,,,NaN,,,NaN,NaN
184,-2,100,61,-3,NaN,58,1,32,NaN,0,,NaN,NaN
185,,,,,NaN,,,,NaN,,,NaN,NaN
186,-2,100,62,-2,NaN,59,-2,60,NaN,0,,NaN,NaN
187,,,,,NaN,,,,NaN,,,NaN,NaN
188,-2,100,62,-2,NaN,61,-2,60,NaN,0,,NaN,NaN
189,,,,,NaN,,,,NaN,,,NaN,NaN
190,1,100,63,1,NaN,62,1,84,NaN,0,,NaN,NaN
191,,,,,NaN,,,,NaN,,,NaN,NaN
192,1,100,65,1,NaN,63,1,84,NaN,0,,NaN,NaN
193,,,,,NaN,,,,NaN,,,NaN,NaN
194,-1,100,65,-1,NaN,64,-1,84,NaN,0,,NaN,NaN
195,,,,,NaN,,,,NaN,,,NaN,NaN
196,-1,100,66,-1,NaN,64,-1,104,NaN,0,,NaN,NaN
197,,,,,NaN,,,,NaN,,,NaN,NaN
198,1,100,66,1,NaN,63,1,104,NaN,0,,NaN,NaN
199,,,,,NaN,,,,NaN,,,NaN,NaN
200,1,100,65,1,NaN,63,1,120,NaN,0,,NaN,NaN
201,,,,,NaN,,,,NaN,,,NaN,NaN
202,-2,100,65,-2,NaN,63,-2,120,NaN,0,,NaN,NaN
203,,,,,NaN,,,,NaN,,,NaN,NaN
204,-2,100,65,-2,NaN,63,-2,134,NaN,0,,NaN,NaN
205,,,,,NaN,,,,NaN,,,NaN,NaN
206,-2,100,65,-2,NaN,63,-2,134,NaN,0,,NaN,NaN
207,,,,,NaN,,,,NaN,,,NaN,NaN
208,-2,100,65,-2,NaN,62,-2,145,NaN,0,,NaN,NaN
209,,,,,NaN,,,,NaN,,,NaN,NaN
