time,Solar8000/ART_MBP,SNUADC/ECG_II,SNUADC/ART,Solar8000/PLETH_SPO2,Solar8000/CVP,SNUADC/CVP,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/ART_SBP,Solar8000/PLETH_HR,Solar8000/ETCO2,SNUADC/ECG_V5,Solar8000/HR
124,,NaN,NaN,,,NaN,,,,,,NaN,
125,104,NaN,NaN,90,-8,NaN,90,,135,111,0,NaN,106
126,,NaN,NaN,,,NaN,,,,,,NaN,
127,103,NaN,NaN,87,-8,NaN,89,,134,112,0,NaN,106
128,,NaN,NaN,,,NaN,,,,,,NaN,
129,103,NaN,NaN,91,-8,NaN,91,,134,102,0,NaN,106
130,,NaN,NaN,,,NaN,,,,,,NaN,
131,104,NaN,NaN,90,-9,NaN,91,,137,101,0,NaN,106
132,,NaN,NaN,,,NaN,,,,,,NaN,
133,104,NaN,NaN,90,-9,NaN,90,,134,101,0,NaN,105
134,,NaN,NaN,,,NaN,,,,,,NaN,
135,103,NaN,NaN,89,-9,NaN,89,,131,101,0,NaN,106
136,,NaN,NaN,,,NaN,,,,,,NaN,
137,103,NaN,NaN,90,-9,NaN,89,,133,100,0,NaN,106
138,,NaN,NaN,,,NaN,,,,,,NaN,
139,103,NaN,NaN,94,-9,NaN,88,,134,107,0,NaN,107
140,,NaN,NaN,,,NaN,,,,,,NaN,
141,101,NaN,NaN,100,-8,NaN,87,,130,106,0,NaN,108
142,,NaN,NaN,,,NaN,,,,,,NaN,
143,101,NaN,NaN,100,-8,NaN,85,,131,108,0,NaN,108
144,,NaN,NaN,,,NaN,,,,,,NaN,
145,99,NaN,NaN,100,-8,NaN,84,,130,108,0,NaN,107
146,,NaN,NaN,,,NaN,,,,,,NaN,
147,98,NaN,NaN,100,-8,NaN,83,,125,107,0,NaN,106
148,,NaN,NaN,,,NaN,,,,,,NaN,
149,97,NaN,NaN,100,-9,NaN,80,,131,107,0,NaN,105
150,,NaN,NaN,,,NaN,,,,,,NaN,
151,97,NaN,NaN,100,-9,NaN,80,,130,107,0,NaN,105
152,,NaN,NaN,,,NaN,,,,,,NaN,
153,97,NaN,NaN,99,-9,NaN,84,,127,105,0,NaN,104
154,,NaN,NaN,,,NaN,,,,,,NaN,
155,100,NaN,NaN,97,-9,NaN,87,,137,110,0,NaN,103
156,,NaN,NaN,,,NaN,,,,,,NaN,
157,102,NaN,NaN,97,-9,NaN,89,,131,110,0,NaN,103
158,,NaN,NaN,,,NaN,,,,,,NaN,
159,102,NaN,NaN,98,-9,NaN,90,,130,110,0,NaN,104
160,,NaN,NaN,,,NaN,,,,,,NaN,
161,103,NaN,NaN,99,-8,NaN,90,,132,110,0,NaN,104
162,,NaN,NaN,,,NaN,,,,,,NaN,
163,104,NaN,NaN,98,-8,NaN,90,,138,106,0,NaN,106
164,,NaN,NaN,,,NaN,,,,,,NaN,
165,104,NaN,NaN,100,-8,NaN,86,,138,107,0,NaN,107
166,,NaN,NaN,,,NaN,,,,,,NaN,
167,103,NaN,NaN,100,-8,NaN,84,,139,107,0,NaN,107
168,,NaN,NaN,,,NaN,,,,,,NaN,
169,102,NaN,NaN,100,-8,NaN,85,,137,106,0,NaN,106
170,,NaN,NaN,,,NaN,,,,,,NaN,
171,99,NaN,NaN,99,-7,NaN,81,,128,106,0,NaN,105
172,,NaN,NaN,,,NaN,,,,,,NaN,
173,99,NaN,NaN,99,-7,NaN,84,,135,106,0,NaN,105
174,,NaN,NaN,,,NaN,,,,,,NaN,
175,98,NaN,NaN,100,-7,NaN,83,,130,106,,NaN,106
176,,NaN,NaN,,,NaN,,,,,,NaN,
177,97,NaN,NaN,100,-7,NaN,82,,129,106,,NaN,106
178,,NaN,NaN,,,NaN,,,,,,NaN,
179,97,NaN,NaN,100,-7,NaN,83,,129,106,,NaN,106
180,,NaN,NaN,,,NaN,,,,,,NaN,
181,98,NaN,NaN,100,-7,NaN,86,,132,105,,NaN,105
182,,NaN,NaN,,,NaN,,,,,,NaN,
183,98,NaN,NaN,100,-7,NaN,77,,134,105,,NaN,104
184,,NaN,NaN,,,NaN,,,,,,NaN,
185,100,NaN,NaN,99,-7,NaN,69,,134,105,,NaN,105
186,,NaN,NaN,,,NaN,,,,,,NaN,
187,103,NaN,NaN,100,-6,NaN,86,,142,106,,NaN,106
188,,NaN,NaN,,,NaN,,,,,,NaN,
189,106,NaN,NaN,100,-6,NaN,89,,144,108,,NaN,108
190,,NaN,NaN,,,NaN,,,,,,NaN,
191,109,NaN,NaN,99,-7,NaN,97,,147,108,,NaN,108
192,,NaN,NaN,,,NaN,,,,,,NaN,
193,109,NaN,NaN,100,-7,NaN,89,,149,109,,NaN,108
194,,NaN,NaN,,,NaN,,,,,,NaN,
195,109,NaN,NaN,99,-7,NaN,92,,141,109,,NaN,109
196,,NaN,NaN,,,NaN,,,,,,NaN,
197,106,NaN,NaN,99,-7,NaN,86,,140,109,,NaN,108
198,,NaN,NaN,,,NaN,,,,,,NaN,
199,102,NaN,NaN,99,-7,NaN,84,,136,107,,NaN,107
200,,NaN,NaN,,,NaN,,,,,,NaN,
201,98,NaN,NaN,96,-7,NaN,76,,127,106,,NaN,106
202,,NaN,NaN,,,NaN,,,,,,NaN,
203,96,NaN,NaN,96,-7,NaN,75,,130,106,,NaN,105
204,,NaN,NaN,,,NaN,,,,,,NaN,
205,94,NaN,NaN,98,-7,NaN,80,,125,106,,NaN,106
206,,NaN,NaN,,,NaN,,,,,,NaN,
207,91,NaN,NaN,98,-7,NaN,78,,115,107,,NaN,107
208,,NaN,NaN,,,NaN,,,,,,NaN,
209,86,NaN,NaN,99,-7,NaN,75,,111,108,,NaN,107
210,,NaN,NaN,,,NaN,,,,,,NaN,
