time,Solar8000/PLETH_HR,Solar8000/RR_CO2,Solar8000/HR,Solar8000/ART_MBP,Solar8000/ETCO2,Solar8000/CVP,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/PLETH_SPO2,SNUADC/CVP,SNUADC/ECG_II,Solar8000/ART_SBP,SNUADC/ART
165,,,,,,,,NaN,,NaN,NaN,,NaN
166,82,,82,1,0,0,1,NaN,100,NaN,NaN,1,NaN
167,,,,,,,,NaN,,NaN,NaN,,NaN
168,82,,82,1,0,0,1,NaN,100,NaN,NaN,1,NaN
169,,,,,,,,NaN,,NaN,NaN,,NaN
170,82,,82,1,0,0,1,NaN,100,NaN,NaN,1,NaN
171,,,,,,,,NaN,,NaN,NaN,,NaN
172,83,,82,1,0,0,1,NaN,100,NaN,NaN,1,NaN
173,,,,,,,,NaN,,NaN,NaN,,NaN
174,84,,83,1,0,0,1,NaN,100,NaN,NaN,1,NaN
175,,,,,,,,NaN,,NaN,NaN,,NaN
176,84,,83,1,0,0,1,NaN,100,NaN,NaN,1,NaN
177,,,,,,,,NaN,,NaN,NaN,,NaN
178,84,,83,1,0,0,1,NaN,100,NaN,NaN,1,NaN
179,,,,,,,,NaN,,NaN,NaN,,NaN
180,84,,84,1,0,0,1,NaN,100,NaN,NaN,1,NaN
181,,,,,,,,NaN,,NaN,NaN,,NaN
182,85,,85,1,0,0,1,NaN,100,NaN,NaN,1,NaN
183,,,,,,,,NaN,,NaN,NaN,,NaN
184,87,,87,1,0,0,1,NaN,100,NaN,NaN,1,NaN
185,,,,,,,,NaN,,NaN,NaN,,NaN
186,89,,89,1,0,0,1,NaN,100,NaN,NaN,1,NaN
187,,,,,,,,NaN,,NaN,NaN,,NaN
188,89,,89,1,0,0,1,NaN,100,NaN,NaN,1,NaN
189,,,,,,,,NaN,,NaN,NaN,,NaN
190,87,,86,1,0,0,1,NaN,100,NaN,NaN,1,NaN
191,,,,,,,,NaN,,NaN,NaN,,NaN
192,85,,82,1,0,0,1,NaN,100,NaN,NaN,1,NaN
193,,,,,,,,NaN,,NaN,NaN,,NaN
194,83,,81,1,0,0,1,NaN,100,NaN,NaN,1,NaN
195,,,,,,,,NaN,,NaN,NaN,,NaN
196,81,,81,1,0,0,1,NaN,100,NaN,NaN,1,NaN
197,,,,,,,,NaN,,NaN,NaN,,NaN
198,82,,81,1,0,0,1,NaN,100,NaN,NaN,1,NaN
199,,,,,,,,NaN,,NaN,NaN,,NaN
200,83,,83,1,0,0,1,NaN,100,NaN,NaN,1,NaN
201,,,,,,,,NaN,,NaN,NaN,,NaN
202,84,,85,1,0,0,1,NaN,100,NaN,NaN,1,NaN
203,,,,,,,,NaN,,NaN,NaN,,NaN
204,85,,84,1,0,0,1,NaN,100,NaN,NaN,1,NaN
205,,,,,,,,NaN,,NaN,NaN,,NaN
206,85,,84,1,0,0,1,NaN,100,NaN,NaN,1,NaN
207,,,,,,,,NaN,,NaN,NaN,,NaN
208,85,,84,1,0,0,1,NaN,100,NaN,NaN,1,NaN
209,,,,,,,,NaN,,NaN,NaN,,NaN
210,84,,84,1,0,0,1,NaN,100,NaN,NaN,1,NaN
211,,,,,,,,NaN,,NaN,NaN,,NaN
212,84,,83,1,0,0,1,NaN,100,NaN,NaN,1,NaN
213,,,,,,,,NaN,,NaN,NaN,,NaN
214,82,,81,1,0,0,1,NaN,100,NaN,NaN,1,NaN
215,,,,,,,,NaN,,NaN,NaN,,NaN
216,81,,79,1,0,0,1,NaN,100,NaN,NaN,1,NaN
217,,,,,,,,NaN,,NaN,NaN,,NaN
218,80,,79,1,0,0,1,NaN,100,NaN,NaN,1,NaN
219,,,,,,,,NaN,,NaN,NaN,,NaN
220,79,,79,1,0,0,1,NaN,100,NaN,NaN,1,NaN
221,,,,,,,,NaN,,NaN,NaN,,NaN
222,80,,80,1,0,0,1,NaN,100,NaN,NaN,1,NaN
223,,,,,,,,NaN,,NaN,NaN,,NaN
224,81,,82,1,0,0,1,NaN,100,NaN,NaN,1,NaN
225,,,,,,,,NaN,,NaN,NaN,,NaN
226,82,,82,1,0,0,1,NaN,100,NaN,NaN,1,NaN
227,,,,,,,,NaN,,NaN,NaN,,NaN
228,83,,82,1,0,0,1,NaN,100,NaN,NaN,1,NaN
229,,,,,,,,NaN,,NaN,NaN,,NaN
230,82,,81,1,0,0,1,NaN,100,NaN,NaN,1,NaN
231,,,,,,,,NaN,,NaN,NaN,,NaN
232,82,,81,1,0,0,1,NaN,100,NaN,NaN,1,NaN
233,,,,,,,,NaN,,NaN,NaN,,NaN
234,82,,82,1,0,0,1,NaN,100,NaN,NaN,1,NaN
