time,Solar8000/ART_SBP,SNUADC/ECG_V5,SNUADC/CVP,Solar8000/PLETH_SPO2,Solar8000/ART_MBP,Solar8000/RR_CO2,Solar8000/ART_DBP,SNUADC/ART,Solar8000/HR,Solar8000/CVP,Solar8000/ETCO2,SNUADC/ECG_II,Solar8000/PLETH_HR
216,0,NaN,NaN,99,0,,0,NaN,96,0,,NaN,97
217,,NaN,NaN,,,,,NaN,,,,NaN,
218,0,NaN,NaN,99,0,,0,NaN,96,0,,NaN,97
219,,NaN,NaN,,,,,NaN,,,,NaN,
220,0,NaN,NaN,99,0,,0,NaN,96,0,,NaN,98
221,,NaN,NaN,,,,,NaN,,,,NaN,
222,0,NaN,NaN,100,0,,0,NaN,97,1,,NaN,98
223,,NaN,NaN,,,,,NaN,,,,NaN,
224,0,NaN,NaN,100,0,,0,NaN,97,1,,NaN,98
225,,NaN,NaN,,,,,NaN,,,,NaN,
226,0,NaN,NaN,100,0,,0,NaN,98,1,,NaN,98
227,,NaN,NaN,,,,,NaN,,,,NaN,
228,1,NaN,NaN,100,1,,1,NaN,104,1,,NaN,99
229,,NaN,NaN,,,,,NaN,,,,NaN,
230,1,NaN,NaN,100,1,,1,NaN,112,1,,NaN,98
231,,NaN,NaN,,,,,NaN,,,,NaN,
232,0,NaN,NaN,100,0,,0,NaN,114,1,,NaN,99
233,,NaN,NaN,,,,,NaN,,,,NaN,
234,0,NaN,NaN,100,0,,0,NaN,98,0,,NaN,100
235,,NaN,NaN,,,,,NaN,,,,NaN,
236,0,NaN,NaN,100,0,,0,NaN,103,0,,NaN,103
237,,NaN,NaN,,,,,NaN,,,,NaN,
238,0,NaN,NaN,99,0,,0,NaN,102,0,,NaN,100
239,,NaN,NaN,,,,,NaN,,,,NaN,
240,0,NaN,NaN,99,0,,0,NaN,99,0,,NaN,100
241,,NaN,NaN,,,,,NaN,,,,NaN,
242,0,NaN,NaN,99,0,,0,NaN,97,0,,NaN,99
243,,NaN,NaN,,,,,NaN,,,,NaN,
244,0,NaN,NaN,100,0,,0,NaN,97,0,,NaN,98
245,,NaN,NaN,,,,,NaN,,,,NaN,
246,0,NaN,NaN,100,0,,0,NaN,98,0,,NaN,97
247,,NaN,NaN,,,,,NaN,,,,NaN,
248,0,NaN,NaN,99,0,,0,NaN,98,0,,NaN,96
249,,NaN,NaN,,,,,NaN,,,,NaN,
250,0,NaN,NaN,100,0,,0,NaN,98,0,,NaN,98
251,,NaN,NaN,,,,,NaN,,,,NaN,
252,0,NaN,NaN,100,0,,0,NaN,97,0,,NaN,97
253,,NaN,NaN,,,,,NaN,,,,NaN,
254,0,NaN,NaN,100,0,,0,NaN,96,0,,NaN,96
255,,NaN,NaN,,,,,NaN,,,,NaN,
256,0,NaN,NaN,100,0,,0,NaN,96,0,,NaN,96
257,,NaN,NaN,,,,,NaN,,,,NaN,
258,0,NaN,NaN,100,0,,0,NaN,96,0,,NaN,96
259,,NaN,NaN,,,,,NaN,,,,NaN,
260,0,NaN,NaN,100,0,,0,NaN,96,0,,NaN,96
261,,NaN,NaN,,,,,NaN,,,,NaN,
262,0,NaN,NaN,100,0,,0,NaN,95,0,,NaN,96
263,,NaN,NaN,,,,,NaN,,,,NaN,
264,0,NaN,NaN,100,0,,0,NaN,96,0,,NaN,96
265,,NaN,NaN,,,,,NaN,,,,NaN,
266,0,NaN,NaN,100,0,,0,NaN,96,0,,NaN,97
267,,NaN,NaN,,,,,NaN,,,,NaN,
268,0,NaN,NaN,100,0,,0,NaN,96,0,,NaN,98
269,,NaN,NaN,,,,,NaN,,,,NaN,
270,0,NaN,NaN,99,0,,0,NaN,97,0,,NaN,98
271,,NaN,NaN,,,,,NaN,,,,NaN,
272,0,NaN,NaN,100,0,,0,NaN,98,0,,NaN,98
273,,NaN,NaN,,,,,NaN,,,,NaN,
274,0,NaN,NaN,100,0,,0,NaN,98,0,,NaN,98
275,,NaN,NaN,,,,,NaN,,,,NaN,
276,0,NaN,NaN,99,-5,,-17,NaN,98,0,,NaN,99
277,,NaN,NaN,,,,,NaN,,,,NaN,
278,0,NaN,NaN,99,-5,,-17,NaN,99,0,,NaN,100
279,,NaN,NaN,,,,,NaN,,,,NaN,
280,-4,NaN,NaN,99,-6,,-14,NaN,101,0,,NaN,101
281,,NaN,NaN,,,,,NaN,,,,NaN,
282,-4,NaN,NaN,99,-6,,-14,NaN,101,-8,,NaN,99
283,,NaN,NaN,,,,,NaN,,,,NaN,
284,-10,NaN,NaN,98,-10,,-10,NaN,101,-8,,NaN,96
285,,NaN,NaN,,,,,NaN,,,,NaN,
286,-10,NaN,NaN,99,-10,,-10,NaN,101,-6,,NaN,95
287,,NaN,NaN,,,,,NaN,,,,NaN,
288,-10,NaN,NaN,98,-10,,-10,NaN,100,-6,,NaN,94
289,,NaN,NaN,,,,,NaN,,,,NaN,
290,-10,NaN,NaN,98,-10,,-10,NaN,98,-7,,NaN,97
291,,NaN,NaN,,,,,NaN,,,,NaN,
292,-10,NaN,NaN,99,-10,,-10,NaN,97,-7,,NaN,96
293,,NaN,NaN,,,,,NaN,,,,NaN,
294,-10,NaN,NaN,98,-10,,-10,NaN,95,-6,,NaN,95
295,,NaN,NaN,,,,,NaN,,,,NaN,
296,-10,NaN,NaN,98,-10,,-10,NaN,95,-6,,NaN,96
297,,NaN,NaN,,,,,NaN,,,,NaN,
298,-10,NaN,NaN,99,-10,,-10,NaN,95,-6,,NaN,96
299,,NaN,NaN,,,,,NaN,,,,NaN,
300,-10,NaN,NaN,99,-10,,-10,NaN,96,-6,,NaN,95
301,,NaN,NaN,,,,,NaN,,,,NaN,
302,-10,NaN,NaN,99,-10,,-10,NaN,95,-7,,NaN,96
303,,NaN,NaN,,,,,NaN,,,,NaN,
304,-10,NaN,NaN,99,-10,,-10,NaN,95,-7,,NaN,96
305,,NaN,NaN,,,,,NaN,,,,NaN,
306,-10,NaN,NaN,98,-10,,-10,NaN,95,-7,,NaN,94
307,,NaN,NaN,,,,,NaN,,,,NaN,
308,-10,NaN,NaN,99,-10,,-10,NaN,96,-7,,NaN,94
309,,NaN,NaN,,,,,NaN,,,,NaN,
310,-10,NaN,NaN,98,-10,,-10,NaN,96,-7,,NaN,94
311,,NaN,NaN,,,,,NaN,,,,NaN,
312,-11,NaN,NaN,98,-11,,-11,NaN,95,-6,,NaN,95
313,,NaN,NaN,,,,,NaN,,,,NaN,
314,-11,NaN,NaN,99,-11,,-11,NaN,95,-6,,NaN,95
315,,NaN,NaN,,,,,NaN,,,,NaN,
316,-11,NaN,NaN,99,-11,,-11,NaN,95,-7,,NaN,95
317,,NaN,NaN,,,,,NaN,,,,NaN,
318,-11,NaN,NaN,99,-11,,-11,NaN,94,-7,,NaN,95
319,,NaN,NaN,,,,,NaN,,,,NaN,
320,-11,NaN,NaN,99,-11,,-11,NaN,94,-7,,NaN,95
321,,NaN,NaN,,,,,NaN,,,,NaN,
322,-11,NaN,NaN,98,-11,,-11,NaN,94,-7,,NaN,96
323,,NaN,NaN,,,,,NaN,,,,NaN,
324,-10,NaN,NaN,98,-10,,-10,NaN,96,-7,,NaN,97
325,,NaN,NaN,,,,,NaN,,,,NaN,
326,-10,NaN,NaN,98,-10,,-10,NaN,98,-7,,NaN,98
327,,NaN,NaN,,,,,NaN,,,,NaN,
328,-10,NaN,NaN,99,-10,,-10,NaN,99,-8,,NaN,99
329,,NaN,NaN,,,,,NaN,,,,NaN,
330,-10,NaN,NaN,99,-10,,-10,NaN,98,-8,,NaN,99
331,,NaN,NaN,,,,,NaN,,,,NaN,
332,-10,NaN,NaN,98,-10,,-10,NaN,98,-8,,NaN,98
333,,NaN,NaN,,,,,NaN,,,,NaN,
334,-10,NaN,NaN,98,-10,,-10,NaN,98,-8,,NaN,98
335,,NaN,NaN,,,,,NaN,,,,NaN,
336,-10,NaN,NaN,99,-10,,-10,NaN,97,-8,,NaN,97
337,,NaN,NaN,,,,,NaN,,,,NaN,
338,-10,NaN,NaN,99,-10,,-10,NaN,97,-8,,NaN,98
339,,NaN,NaN,,,,,NaN,,,,NaN,
340,-10,NaN,NaN,99,-10,,-10,NaN,97,-8,,NaN,97
341,,NaN,NaN,,,,,NaN,,,,NaN,
342,-10,NaN,NaN,99,-10,,-10,NaN,97,-8,,NaN,97
343,,NaN,NaN,,,,,NaN,,,,NaN,
344,-10,NaN,NaN,98,-10,,-10,NaN,96,-8,,NaN,95
345,,NaN,NaN,,,,,NaN,,,,NaN,
346,-10,NaN,NaN,99,-10,,-10,NaN,95,-8,,NaN,95
347,,NaN,NaN,,,,,NaN,,,,NaN,
348,-10,NaN,NaN,99,-10,,-10,NaN,95,-8,,NaN,95
349,,NaN,NaN,,,,,NaN,,,,NaN,
350,-10,NaN,NaN,99,-10,,-10,NaN,96,-7,,NaN,95
351,,NaN,NaN,,,,,NaN,,,,NaN,
352,-10,NaN,NaN,98,-10,,-10,NaN,96,-7,,NaN,97
353,,NaN,NaN,,,,,NaN,,,,NaN,
354,-10,NaN,NaN,96,-10,,-10,NaN,96,-6,,NaN,96
355,,NaN,NaN,,,,,NaN,,,,NaN,
356,-10,NaN,NaN,94,-10,,-10,NaN,96,-6,,NaN,95
357,,NaN,NaN,,,,,NaN,,,,NaN,
358,-10,NaN,NaN,92,-10,,-10,NaN,97,-7,,NaN,92
359,,NaN,NaN,,,,,NaN,,,,NaN,
360,-10,NaN,NaN,92,-10,,-10,NaN,97,-7,,NaN,90
361,,NaN,NaN,,,,,NaN,,,,NaN,
362,-10,NaN,NaN,92,-10,,-10,NaN,97,-7,,NaN,85
363,,NaN,NaN,,,,,NaN,,,,NaN,
364,-10,NaN,NaN,92,-10,,-10,NaN,97,-7,,NaN,85
365,,NaN,NaN,,,,,NaN,,,,NaN,
366,-10,NaN,NaN,92,-10,,-10,NaN,97,-8,,NaN,82
367,,NaN,NaN,,,,,NaN,,,,NaN,
368,-10,NaN,NaN,93,-10,,-10,NaN,97,-8,,NaN,86
369,,NaN,NaN,,,,,NaN,,,,NaN,
370,-10,NaN,NaN,95,-10,,-10,NaN,97,-8,,NaN,89
371,,NaN,NaN,,,,,NaN,,,,NaN,
372,-10,NaN,NaN,96,-10,,-10,NaN,96,-8,,NaN,88
373,,NaN,NaN,,,,,NaN,,,,NaN,
374,-10,NaN,NaN,96,-10,,-10,NaN,97,-8,,NaN,88
375,,NaN,NaN,,,,,NaN,,,,NaN,
376,-9,NaN,NaN,95,-9,,-9,NaN,97,-8,,NaN,91
377,,NaN,NaN,,,,,NaN,,,,NaN,
378,-9,NaN,NaN,93,-9,,-9,NaN,97,-8,,NaN,94
379,,NaN,NaN,,,,,NaN,,,,NaN,
