time,Solar8000/PLETH_SPO2,Solar8000/HR,SNUADC/ART,Solar8000/ETCO2,Solar8000/ART_MBP,SNUADC/CVP,SNUADC/ECG_V5,SNUADC/ECG_II,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/CVP,Solar8000/PLETH_HR,Solar8000/ART_SBP
392,100,78,NaN,,-3,NaN,NaN,NaN,-3,,-11,79,-3
393,,,NaN,,,NaN,NaN,NaN,,,,,
394,100,78,NaN,,-3,NaN,NaN,NaN,-3,,-11,78,-3
395,,,NaN,,,NaN,NaN,NaN,,,,,
396,100,79,NaN,,-3,NaN,NaN,NaN,-3,,-12,79,-3
397,,,NaN,,,NaN,NaN,NaN,,,,,
398,100,80,NaN,,-2,NaN,NaN,NaN,-2,,-12,80,-2
399,,,NaN,,,NaN,NaN,NaN,,,,,
400,100,78,NaN,,-2,NaN,NaN,NaN,-2,,-12,78,-2
401,,,NaN,,,NaN,NaN,NaN,,,,,
402,100,75,NaN,,-2,NaN,NaN,NaN,-2,,-12,76,-2
403,,,NaN,,,NaN,NaN,NaN,,,,,
404,100,72,NaN,,-2,NaN,NaN,NaN,-2,,-11,74,-2
405,,,NaN,,,NaN,NaN,NaN,,,,,
406,100,70,NaN,,-2,NaN,NaN,NaN,-2,,-11,72,-2
407,,,NaN,,,NaN,NaN,NaN,,,,,
408,100,70,NaN,,-2,NaN,NaN,NaN,-2,,-11,71,-2
409,,,NaN,,,NaN,NaN,NaN,,,,,
410,100,69,NaN,,-3,NaN,NaN,NaN,-3,,-11,70,-3
411,,,NaN,,,NaN,NaN,NaN,,,,,
412,100,69,NaN,,-3,NaN,NaN,NaN,-4,,-11,70,-2
