time,SNUADC/ECG_II,SNUADC/CVP,SNUADC/ART,Solar8000/RR_CO2,Solar8000/ETCO2,Solar8000/CVP,Solar8000/HR,Solar8000/ART_MBP,Solar8000/PLETH_HR,Solar8000/ART_SBP,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/PLETH_SPO2
34,NaN,NaN,NaN,,,,,,,,,NaN,
35,NaN,NaN,NaN,,,,84,,85,,,NaN,95
36,NaN,NaN,NaN,,,,,,,,,NaN,
37,NaN,NaN,NaN,,,,82,,84,,,NaN,95
38,NaN,NaN,NaN,,,,,,,,,NaN,
39,NaN,NaN,NaN,,,,82,,83,,,NaN,95
40,NaN,NaN,NaN,,,,,,,,,NaN,
41,NaN,NaN,NaN,,,,82,,83,,,NaN,95
42,NaN,NaN,NaN,,,,,,,,,NaN,
43,NaN,NaN,NaN,,,,83,,83,,,NaN,95
44,NaN,NaN,NaN,,,,,,,,,NaN,
45,NaN,NaN,NaN,,,,83,,84,,,NaN,95
46,NaN,NaN,NaN,,,,,,,,,NaN,
47,NaN,NaN,NaN,,,,82,,83,,,NaN,95
48,NaN,NaN,NaN,,,,,,,,,NaN,
49,NaN,NaN,NaN,,,,82,,82,,,NaN,95
50,NaN,NaN,NaN,,,,,,,,,NaN,
51,NaN,NaN,NaN,,,,81,,81,,,NaN,95
52,NaN,NaN,NaN,,,,,,,,,NaN,
53,NaN,NaN,NaN,,,,81,,82,,,NaN,95
54,NaN,NaN,NaN,,,,,,,,,NaN,
55,NaN,NaN,NaN,,,,83,,83,,,NaN,94
56,NaN,NaN,NaN,,,,,,,,,NaN,
57,NaN,NaN,NaN,,,,83,,83,,,NaN,94
58,NaN,NaN,NaN,,,,,,,,,NaN,
59,NaN,NaN,NaN,,,,83,,83,,,NaN,94
60,NaN,NaN,NaN,,,,,,,,,NaN,
61,NaN,NaN,NaN,,,,82,,83,,,NaN,94
62,NaN,NaN,NaN,,,,,,,,,NaN,
63,NaN,NaN,NaN,,,,81,,82,,,NaN,94
64,NaN,NaN,NaN,,,,,,,,,NaN,
65,NaN,NaN,NaN,,,,81,,82,,,NaN,94
66,NaN,NaN,NaN,,,,,,,,,NaN,
67,NaN,NaN,NaN,,,,82,,82,,,NaN,94
68,NaN,NaN,NaN,,,,,,,,,NaN,
69,NaN,NaN,NaN,,,,82,,83,,,NaN,94
70,NaN,NaN,NaN,,,,,,,,,NaN,
71,NaN,NaN,NaN,,,,83,,83,,,NaN,94
72,NaN,NaN,NaN,,,,,,,,,NaN,
73,NaN,NaN,NaN,,,,82,,83,,,NaN,94
74,NaN,NaN,NaN,,,,,,,,,NaN,
75,NaN,NaN,NaN,,,,81,,82,,,NaN,94
76,NaN,NaN,NaN,,,,,,,,,NaN,
77,NaN,NaN,NaN,,,,81,,82,,,NaN,94
78,NaN,NaN,NaN,,,,,,,,,NaN,
79,NaN,NaN,NaN,,,,80,,81,,,NaN,94
80,NaN,NaN,NaN,,,,,,,,,NaN,
81,NaN,NaN,NaN,,,,80,,81,,,NaN,94
82,NaN,NaN,NaN,,,,,,,,,NaN,
83,NaN,NaN,NaN,,,,80,,81,,,NaN,94
84,NaN,NaN,NaN,,,,,,,,,NaN,
85,NaN,NaN,NaN,,,,80,,80,,,NaN,94
86,NaN,NaN,NaN,,,,,,,,,NaN,
87,NaN,NaN,NaN,,,,79,,80,,,NaN,94
88,NaN,NaN,NaN,,,,,,,,,NaN,
89,NaN,NaN,NaN,,,,78,,79,,,NaN,94
90,NaN,NaN,NaN,,,,,,,,,NaN,
91,NaN,NaN,NaN,,,,78,,78,,,NaN,94
92,NaN,NaN,NaN,,,,,,,,,NaN,
93,NaN,NaN,NaN,,,,78,,78,,,NaN,94
94,NaN,NaN,NaN,,,,,,,,,NaN,
95,NaN,NaN,NaN,,,,77,,78,,,NaN,94
96,NaN,NaN,NaN,,,,,,,,,NaN,
97,NaN,NaN,NaN,,,,77,,77,,,NaN,94
98,NaN,NaN,NaN,,,,,,,,,NaN,
99,NaN,NaN,NaN,,,,77,,77,,,NaN,93
100,NaN,NaN,NaN,,,,,,,,,NaN,
101,NaN,NaN,NaN,,,,77,,78,,,NaN,93
102,NaN,NaN,NaN,,,,,,,,,NaN,
103,NaN,NaN,NaN,,,,78,,78,,,NaN,93
104,NaN,NaN,NaN,,,,,,,,,NaN,
105,NaN,NaN,NaN,,,,78,,78,,,NaN,93
106,NaN,NaN,NaN,,,,,,,,,NaN,
107,NaN,NaN,NaN,,,,78,,78,,,NaN,93
108,NaN,NaN,NaN,,,,,,,,,NaN,
109,NaN,NaN,NaN,,,,78,,78,,,NaN,93
110,NaN,NaN,NaN,,,,,,,,,NaN,
111,NaN,NaN,NaN,,,,78,,79,,,NaN,93
112,NaN,NaN,NaN,,,,,,,,,NaN,
113,NaN,NaN,NaN,,,,78,,78,,,NaN,93
114,NaN,NaN,NaN,,,,,,,,,NaN,
115,NaN,NaN,NaN,,,,79,,79,,,NaN,94
116,NaN,NaN,NaN,,,,,,,,,NaN,
117,NaN,NaN,NaN,,,,79,,80,,,NaN,95
118,NaN,NaN,NaN,,,,,,,,,NaN,
119,NaN,NaN,NaN,,,,79,,80,,,NaN,94
120,NaN,NaN,NaN,,,,,,,,,NaN,
121,NaN,NaN,NaN,,,,78,,79,,,NaN,94
122,NaN,NaN,NaN,,,,,,,,,NaN,
123,NaN,NaN,NaN,,,,78,,78,,,NaN,94
124,NaN,NaN,NaN,,,,,,,,,NaN,
125,NaN,NaN,NaN,,,,78,,79,,,NaN,95
126,NaN,NaN,NaN,,,,,,,,,NaN,
127,NaN,NaN,NaN,,,,79,,79,,,NaN,95
128,NaN,NaN,NaN,,,,,,,,,NaN,
129,NaN,NaN,NaN,,,,80,,80,,,NaN,95
130,NaN,NaN,NaN,,,,,,,,,NaN,
131,NaN,NaN,NaN,,,,80,,81,,,NaN,95
132,NaN,NaN,NaN,,,,,,,,,NaN,
133,NaN,NaN,NaN,,,,80,,81,,,NaN,94
134,NaN,NaN,NaN,,,,,,,,,NaN,
135,NaN,NaN,NaN,,,,80,,81,,,NaN,94
136,NaN,NaN,NaN,,,,,,,,,NaN,
137,NaN,NaN,NaN,,,,80,,81,,,NaN,94
138,NaN,NaN,NaN,,,,,,,,,NaN,
139,NaN,NaN,NaN,,,,80,,81,,,NaN,94
140,NaN,NaN,NaN,,,,,,,,,NaN,
141,NaN,NaN,NaN,,,,81,,81,,,NaN,94
142,NaN,NaN,NaN,,,,,,,,,NaN,
143,NaN,NaN,NaN,,,,81,,82,,,NaN,95
144,NaN,NaN,NaN,,,,,,,,,NaN,
145,NaN,NaN,NaN,,,,82,,82,,,NaN,94
146,NaN,NaN,NaN,,,,,,,,,NaN,
147,NaN,NaN,NaN,,,,81,,82,,,NaN,94
148,NaN,NaN,NaN,,,,,,,,,NaN,
149,NaN,NaN,NaN,,,,81,,82,,,NaN,94
150,NaN,NaN,NaN,,,,,,,,,NaN,
151,NaN,NaN,NaN,,,,82,,82,,,NaN,94
152,NaN,NaN,NaN,,,,,,,,,NaN,
153,NaN,NaN,NaN,,,,82,,82,,,NaN,94
154,NaN,NaN,NaN,,,,,,,,,NaN,
155,NaN,NaN,NaN,,,,83,,83,,,NaN,95
156,NaN,NaN,NaN,,,,,,,,,NaN,
157,NaN,NaN,NaN,,,,83,,84,,,NaN,95
158,NaN,NaN,NaN,,,,,,,,,NaN,
159,NaN,NaN,NaN,,,,84,,85,,,NaN,95
160,NaN,NaN,NaN,,,,,,,,,NaN,
161,NaN,NaN,NaN,,,,85,,86,,,NaN,95
162,NaN,NaN,NaN,,,,,,,,,NaN,
163,NaN,NaN,NaN,,,,85,,86,,,NaN,95
164,NaN,NaN,NaN,,,,,,,,,NaN,
165,NaN,NaN,NaN,,,,85,,85,,,NaN,95
166,NaN,NaN,NaN,,,,,,,,,NaN,
167,NaN,NaN,NaN,,,,84,,85,,,NaN,95
168,NaN,NaN,NaN,,,,,,,,,NaN,
169,NaN,NaN,NaN,,,,84,,85,,,NaN,95
170,NaN,NaN,NaN,,,,,,,,,NaN,
171,NaN,NaN,NaN,,,,84,,85,,,NaN,95
172,NaN,NaN,NaN,,,,,,,,,NaN,
173,NaN,NaN,NaN,,,,84,,85,,,NaN,95
174,NaN,NaN,NaN,,,,,,,,,NaN,
175,NaN,NaN,NaN,,,,85,,85,,,NaN,95
176,NaN,NaN,NaN,,,,,,,,,NaN,
177,NaN,NaN,NaN,,,,85,,85,,,NaN,95
178,NaN,NaN,NaN,,,,,,,,,NaN,
179,NaN,NaN,NaN,,,,85,,85,,,NaN,95
180,NaN,NaN,NaN,,,,,,,,,NaN,
181,NaN,NaN,NaN,,,,84,,85,,,NaN,95
182,NaN,NaN,NaN,,,,,,,,,NaN,
183,NaN,NaN,NaN,,,,84,,85,,,NaN,96
184,NaN,NaN,NaN,,,,,,,,,NaN,
185,NaN,NaN,NaN,,,,85,,85,,,NaN,95
186,NaN,NaN,NaN,,,,,,,,,NaN,
187,NaN,NaN,NaN,,,,84,,85,,,NaN,95
188,NaN,NaN,NaN,,,,,,,,,NaN,
189,NaN,NaN,NaN,,,,84,,85,,,NaN,95
190,NaN,NaN,NaN,,,,,,,,,NaN,
191,NaN,NaN,NaN,,,,83,,84,,,NaN,95
192,NaN,NaN,NaN,,,,,,,,,NaN,
193,NaN,NaN,NaN,,,,83,,83,,,NaN,95
194,NaN,NaN,NaN,,,,,,,,,NaN,
195,NaN,NaN,NaN,,,,82,,83,,,NaN,95
196,NaN,NaN,NaN,,,,,,,,,NaN,
197,NaN,NaN,NaN,,,,81,,82,,,NaN,95
198,NaN,NaN,NaN,,,,,,,,,NaN,
199,NaN,NaN,NaN,,,,80,,81,,,NaN,95
200,NaN,NaN,NaN,,,,,,,,,NaN,
201,NaN,NaN,NaN,,,,80,,81,,,NaN,95
202,NaN,NaN,NaN,,,,,,,,,NaN,
203,NaN,NaN,NaN,,,,80,,81,,,NaN,95
204,NaN,NaN,NaN,,,,,,,,,NaN,
205,NaN,NaN,NaN,,,,80,,81,,,NaN,95
206,NaN,NaN,NaN,,,,,,,,,NaN,
207,NaN,NaN,NaN,,,,81,,81,,,NaN,95
208,NaN,NaN,NaN,,,,,,,,,NaN,
209,NaN,NaN,NaN,,,,81,,81,,,NaN,95
210,NaN,NaN,NaN,,,,,,,,,NaN,
211,NaN,NaN,NaN,,,,81,,82,,,NaN,95
212,NaN,NaN,NaN,,,,,,,,,NaN,
213,NaN,NaN,NaN,,,,82,,82,,,NaN,95
214,NaN,NaN,NaN,,,,,,,,,NaN,
215,NaN,NaN,NaN,,,,81,,81,,,NaN,96
216,NaN,NaN,NaN,,,,,,,,,NaN,
217,NaN,NaN,NaN,,,,81,,81,,,NaN,96
218,NaN,NaN,NaN,,,,,,,,,NaN,
219,NaN,NaN,NaN,,,,80,,81,,,NaN,96
220,NaN,NaN,NaN,,,,,,,,,NaN,
221,NaN,NaN,NaN,,,,81,,81,,,NaN,96
222,NaN,NaN,NaN,,,,,,,,,NaN,
223,NaN,NaN,NaN,,,,82,,82,,,NaN,96
224,NaN,NaN,NaN,,,,,,,,,NaN,
225,NaN,NaN,NaN,,,,82,,82,,,NaN,96
226,NaN,NaN,NaN,,,,,,,,,NaN,
227,NaN,NaN,NaN,,,,82,,83,,,NaN,96
228,NaN,NaN,NaN,,,,,,,,,NaN,
229,NaN,NaN,NaN,,,,82,,83,,,NaN,96
230,NaN,NaN,NaN,,,,,,,,,NaN,
231,NaN,NaN,NaN,,,,82,,83,,,NaN,96
232,NaN,NaN,NaN,,,,,,,,,NaN,
233,NaN,NaN,NaN,,,,81,,82,,,NaN,96
234,NaN,NaN,NaN,,,,,,,,,NaN,
235,NaN,NaN,NaN,,,,80,,80,,,NaN,96
236,NaN,NaN,NaN,,,,,,,,,NaN,
237,NaN,NaN,NaN,,,,79,,80,,,NaN,96
238,NaN,NaN,NaN,,,,,,,,,NaN,
239,NaN,NaN,NaN,,,,79,,80,,,NaN,96
240,NaN,NaN,NaN,,,,,,,,,NaN,
241,NaN,NaN,NaN,,,,80,,81,,,NaN,95
242,NaN,NaN,NaN,,,,,,,,,NaN,
243,NaN,NaN,NaN,,,,80,,81,,,NaN,95
244,NaN,NaN,NaN,,,,,,,,,NaN,
245,NaN,NaN,NaN,,,,79,,79,,,NaN,95
246,NaN,NaN,NaN,,,,,,,,,NaN,
247,NaN,NaN,NaN,,,,79,,78,,,NaN,95
248,NaN,NaN,NaN,,,,,,,,,NaN,
249,NaN,NaN,NaN,,,0,78,0,78,0,0,NaN,95
250,NaN,NaN,NaN,,,,,,,,,NaN,
251,NaN,NaN,NaN,,,0,77,0,78,0,0,NaN,95
252,NaN,NaN,NaN,,,,,,,,,NaN,
253,NaN,NaN,NaN,,,0,78,0,79,0,0,NaN,95
254,NaN,NaN,NaN,,,,,,,,,NaN,
255,NaN,NaN,NaN,,,0,79,0,80,0,0,NaN,95
256,NaN,NaN,NaN,,,,,,,,,NaN,
257,NaN,NaN,NaN,,,0,80,0,80,0,0,NaN,95
258,NaN,NaN,NaN,,,,,,,,,NaN,
259,NaN,NaN,NaN,,,0,81,0,81,0,0,NaN,95
260,NaN,NaN,NaN,,,,,,,,,NaN,
261,NaN,NaN,NaN,,,0,80,0,80,0,0,NaN,95
262,NaN,NaN,NaN,,,,,,,,,NaN,
263,NaN,NaN,NaN,,,0,78,0,79,0,0,NaN,95
264,NaN,NaN,NaN,,,,,,,,,NaN,
265,NaN,NaN,NaN,,,0,76,0,77,0,0,NaN,95
266,NaN,NaN,NaN,,,,,,,,,NaN,
267,NaN,NaN,NaN,,,0,74,0,75,0,0,NaN,96
268,NaN,NaN,NaN,,,,,,,,,NaN,
269,NaN,NaN,NaN,,,0,74,0,75,0,0,NaN,96
270,NaN,NaN,NaN,,,,,,,,,NaN,
271,NaN,NaN,NaN,,,0,75,0,75,0,0,NaN,96
272,NaN,NaN,NaN,,,,,,,,,NaN,
273,NaN,NaN,NaN,,,0,75,0,75,0,0,NaN,96
274,NaN,NaN,NaN,,,,,,,,,NaN,
275,NaN,NaN,NaN,,,0,76,0,77,0,0,NaN,96
276,NaN,NaN,NaN,,,,,,,,,NaN,
277,NaN,NaN,NaN,,,0,77,0,77,0,0,NaN,97
278,NaN,NaN,NaN,,,,,,,,,NaN,
279,NaN,NaN,NaN,,,0,79,0,79,0,0,NaN,97
280,NaN,NaN,NaN,,,,,,,,,NaN,
281,NaN,NaN,NaN,,,0,79,0,79,0,0,NaN,98
282,NaN,NaN,NaN,,,,,,,,,NaN,
283,NaN,NaN,NaN,,,0,79,0,80,0,0,NaN,98
284,NaN,NaN,NaN,,,,,,,,,NaN,
285,NaN,NaN,NaN,,,0,80,0,80,0,0,NaN,98
286,NaN,NaN,NaN,,,,,,,,,NaN,
287,NaN,NaN,NaN,,,0,79,0,79,0,0,NaN,98
288,NaN,NaN,NaN,,,,,,,,,NaN,
289,NaN,NaN,NaN,,,0,79,0,80,0,0,NaN,98
290,NaN,NaN,NaN,,,,,,,,,NaN,
291,NaN,NaN,NaN,,,0,79,0,79,0,0,NaN,98
292,NaN,NaN,NaN,,,,,,,,,NaN,
293,NaN,NaN,NaN,,,0,79,0,79,0,0,NaN,98
294,NaN,NaN,NaN,,,,,,,,,NaN,
295,NaN,NaN,NaN,,,0,79,0,79,0,0,NaN,98
296,NaN,NaN,NaN,,,,,,,,,NaN,
297,NaN,NaN,NaN,,,0,78,0,79,0,0,NaN,98
298,NaN,NaN,NaN,,,,,,,,,NaN,
299,NaN,NaN,NaN,,,0,79,0,79,0,0,NaN,98
300,NaN,NaN,NaN,,,,,,,,,NaN,
301,NaN,NaN,NaN,,,0,78,0,79,0,0,NaN,98
302,NaN,NaN,NaN,,,,,,,,,NaN,
303,NaN,NaN,NaN,,,0,78,0,78,0,0,NaN,98
304,NaN,NaN,NaN,,,,,,,,,NaN,
305,NaN,NaN,NaN,,,0,78,0,78,0,0,NaN,98
306,NaN,NaN,NaN,,,,,,,,,NaN,
307,NaN,NaN,NaN,,,0,75,0,76,0,0,NaN,98
308,NaN,NaN,NaN,,,,,,,,,NaN,
309,NaN,NaN,NaN,,,0,74,0,75,0,0,NaN,98
310,NaN,NaN,NaN,,,,,,,,,NaN,
311,NaN,NaN,NaN,,,0,73,0,75,0,0,NaN,98
312,NaN,NaN,NaN,,,,,,,,,NaN,
313,NaN,NaN,NaN,,,0,74,0,74,0,0,NaN,98
314,NaN,NaN,NaN,,,,,,,,,NaN,
315,NaN,NaN,NaN,,,0,76,0,76,0,0,NaN,98
316,NaN,NaN,NaN,,,,,,,,,NaN,
317,NaN,NaN,NaN,,,0,78,0,78,0,0,NaN,98
318,NaN,NaN,NaN,,,,,,,,,NaN,
319,NaN,NaN,NaN,,,0,77,0,77,0,0,NaN,98
320,NaN,NaN,NaN,,,,,,,,,NaN,
321,NaN,NaN,NaN,,,0,76,0,76,0,0,NaN,98
322,NaN,NaN,NaN,,,,,,,,,NaN,
323,NaN,NaN,NaN,,,0,75,0,77,0,0,NaN,98
324,NaN,NaN,NaN,,,,,,,,,NaN,
325,NaN,NaN,NaN,,,0,76,0,76,0,0,NaN,98
326,NaN,NaN,NaN,,,,,,,,,NaN,
327,NaN,NaN,NaN,,,0,76,0,77,0,0,NaN,98
328,NaN,NaN,NaN,,,,,,,,,NaN,
329,NaN,NaN,NaN,,,0,77,0,78,0,0,NaN,98
330,NaN,NaN,NaN,,,,,,,,,NaN,
331,NaN,NaN,NaN,,,0,78,0,78,0,0,NaN,98
332,NaN,NaN,NaN,,,,,,,,,NaN,
333,NaN,NaN,NaN,,,0,78,0,78,0,0,NaN,98
334,NaN,NaN,NaN,,,,,,,,,NaN,
335,NaN,NaN,NaN,,,0,78,0,79,0,0,NaN,98
336,NaN,NaN,NaN,,,,,,,,,NaN,
337,NaN,NaN,NaN,,,0,77,0,78,0,0,NaN,98
338,NaN,NaN,NaN,,,,,,,,,NaN,
339,NaN,NaN,NaN,,,0,78,0,78,0,0,NaN,98
340,NaN,NaN,NaN,,,,,,,,,NaN,
341,NaN,NaN,NaN,,,0,78,0,78,0,0,NaN,98
342,NaN,NaN,NaN,,,,,,,,,NaN,
343,NaN,NaN,NaN,,,0,78,0,78,0,0,NaN,98
344,NaN,NaN,NaN,,,,,,,,,NaN,
345,NaN,NaN,NaN,,,0,77,0,78,0,0,NaN,98
346,NaN,NaN,NaN,,,,,,,,,NaN,
347,NaN,NaN,NaN,,,0,77,0,77,0,0,NaN,98
348,NaN,NaN,NaN,,,,,,,,,NaN,
349,NaN,NaN,NaN,,,0,76,0,77,0,0,NaN,98
350,NaN,NaN,NaN,,,,,,,,,NaN,
351,NaN,NaN,NaN,,,0,75,0,75,0,0,NaN,98
352,NaN,NaN,NaN,,,,,,,,,NaN,
353,NaN,NaN,NaN,,,0,74,0,74,0,0,NaN,98
354,NaN,NaN,NaN,,,,,,,,,NaN,
355,NaN,NaN,NaN,,,0,73,0,74,0,0,NaN,98
356,NaN,NaN,NaN,,,,,,,,,NaN,
357,NaN,NaN,NaN,,,0,73,0,75,0,0,NaN,98
358,NaN,NaN,NaN,,,,,,,,,NaN,
359,NaN,NaN,NaN,,,0,74,0,75,0,0,NaN,98
360,NaN,NaN,NaN,,,,,,,,,NaN,
361,NaN,NaN,NaN,,,0,75,0,76,0,0,NaN,98
362,NaN,NaN,NaN,,,,,,,,,NaN,
363,NaN,NaN,NaN,,,0,76,0,77,0,0,NaN,98
364,NaN,NaN,NaN,,,,,,,,,NaN,
365,NaN,NaN,NaN,,,0,76,0,76,0,0,NaN,98
366,NaN,NaN,NaN,,,,,,,,,NaN,
367,NaN,NaN,NaN,,,0,75,0,76,0,0,NaN,98
368,NaN,NaN,NaN,,,,,,,,,NaN,
369,NaN,NaN,NaN,,,0,75,0,75,0,0,NaN,98
370,NaN,NaN,NaN,,,,,,,,,NaN,
371,NaN,NaN,NaN,,,0,75,0,75,0,0,NaN,98
372,NaN,NaN,NaN,,,,,,,,,NaN,
373,NaN,NaN,NaN,,,0,74,0,75,0,0,NaN,98
374,NaN,NaN,NaN,,,,,,,,,NaN,
375,NaN,NaN,NaN,,,0,74,0,75,0,0,NaN,98
376,NaN,NaN,NaN,,,,,,,,,NaN,
377,NaN,NaN,NaN,,,0,73,0,74,0,0,NaN,98
378,NaN,NaN,NaN,,,,,,,,,NaN,
379,NaN,NaN,NaN,,,0,72,0,73,0,0,NaN,98
380,NaN,NaN,NaN,,,,,,,,,NaN,
381,NaN,NaN,NaN,,,0,72,0,72,0,0,NaN,98
382,NaN,NaN,NaN,,,,,,,,,NaN,
383,NaN,NaN,NaN,,,0,70,0,71,0,0,NaN,97
384,NaN,NaN,NaN,,,,,,,,,NaN,
385,NaN,NaN,NaN,,,0,69,0,70,0,0,NaN,97
386,NaN,NaN,NaN,,,,,,,,,NaN,
387,NaN,NaN,NaN,,,0,68,0,69,0,0,NaN,98
388,NaN,NaN,NaN,,,,,,,,,NaN,
389,NaN,NaN,NaN,,,0,68,0,68,0,0,NaN,98
390,NaN,NaN,NaN,,,,,,,,,NaN,
391,NaN,NaN,NaN,,,0,67,0,67,0,0,NaN,98
392,NaN,NaN,NaN,,,,,,,,,NaN,
393,NaN,NaN,NaN,,,0,67,0,67,0,0,NaN,98
394,NaN,NaN,NaN,,,,,,,,,NaN,
395,NaN,NaN,NaN,,,0,66,0,68,0,0,NaN,97
396,NaN,NaN,NaN,,,,,,,,,NaN,
397,NaN,NaN,NaN,,,0,66,0,68,0,0,NaN,98
398,NaN,NaN,NaN,,,,,,,,,NaN,
399,NaN,NaN,NaN,,,0,66,0,68,0,0,NaN,99
400,NaN,NaN,NaN,,,,,,,,,NaN,
401,NaN,NaN,NaN,,,0,66,0,68,0,0,NaN,98
402,NaN,NaN,NaN,,,,,,,,,NaN,
403,NaN,NaN,NaN,,,0,66,0,68,0,0,NaN,98
404,NaN,NaN,NaN,,,,,,,,,NaN,
405,NaN,NaN,NaN,,,0,65,0,67,0,0,NaN,99
406,NaN,NaN,NaN,,,,,,,,,NaN,
407,NaN,NaN,NaN,,,0,64,0,65,0,0,NaN,99
408,NaN,NaN,NaN,,,,,,,,,NaN,
409,NaN,NaN,NaN,,,0,64,0,64,0,0,NaN,98
410,NaN,NaN,NaN,,,,,,,,,NaN,
411,NaN,NaN,NaN,,,0,63,0,63,0,0,NaN,98
412,NaN,NaN,NaN,,,,,,,,,NaN,
413,NaN,NaN,NaN,,,0,62,0,63,0,0,NaN,98
414,NaN,NaN,NaN,,,,,,,,,NaN,
415,NaN,NaN,NaN,,,0,62,0,62,0,0,NaN,98
416,NaN,NaN,NaN,,,,,,,,,NaN,
417,NaN,NaN,NaN,,,0,62,0,63,0,0,NaN,98
418,NaN,NaN,NaN,,,,,,,,,NaN,
419,NaN,NaN,NaN,,,0,62,0,62,0,0,NaN,98
420,NaN,NaN,NaN,,,,,,,,,NaN,
421,NaN,NaN,NaN,,,0,62,0,62,0,0,NaN,98
422,NaN,NaN,NaN,,,,,,,,,NaN,
423,NaN,NaN,NaN,,,0,62,0,63,0,0,NaN,97
424,NaN,NaN,NaN,,,,,,,,,NaN,
425,NaN,NaN,NaN,,36,0,63,0,63,0,0,NaN,96
426,NaN,NaN,NaN,,,,,,,,,NaN,
427,NaN,NaN,NaN,,36,0,63,0,63,0,0,NaN,95
428,NaN,NaN,NaN,,,,,,,,,NaN,
429,NaN,NaN,NaN,,36,0,64,0,64,0,0,NaN,97
430,NaN,NaN,NaN,,,,,,,,,NaN,
431,NaN,NaN,NaN,,36,0,64,0,64,0,0,NaN,97
432,NaN,NaN,NaN,,,,,,,,,NaN,
433,NaN,NaN,NaN,,36,0,65,0,65,0,0,NaN,97
434,NaN,NaN,NaN,,,,,,,,,NaN,
435,NaN,NaN,NaN,,36,0,65,0,65,0,0,NaN,97
436,NaN,NaN,NaN,,,,,,,,,NaN,
437,NaN,NaN,NaN,,36,0,65,0,66,0,0,NaN,97
438,NaN,NaN,NaN,,,,,,,,,NaN,
439,NaN,NaN,NaN,,36,0,66,0,66,0,0,NaN,97
440,NaN,NaN,NaN,,,,,,,,,NaN,
441,NaN,NaN,NaN,,36,0,66,0,67,0,0,NaN,97
442,NaN,NaN,NaN,,,,,,,,,NaN,
443,NaN,NaN,NaN,,36,0,66,0,69,0,0,NaN,97
444,NaN,NaN,NaN,,,,,,,,,NaN,
445,NaN,NaN,NaN,,0,0,66,0,69,0,0,NaN,96
446,NaN,NaN,NaN,,,,,,,,,NaN,
447,NaN,NaN,NaN,,0,0,65,0,68,0,0,NaN,96
448,NaN,NaN,NaN,,,,,,,,,NaN,
449,NaN,NaN,NaN,,0,0,64,0,68,0,0,NaN,96
450,NaN,NaN,NaN,,,,,,,,,NaN,
451,NaN,NaN,NaN,,3,0,64,0,67,0,0,NaN,96
452,NaN,NaN,NaN,,,,,,,,,NaN,
453,NaN,NaN,NaN,,3,0,64,0,65,0,0,NaN,95
454,NaN,NaN,NaN,,,,,,,,,NaN,
455,NaN,NaN,NaN,,3,0,64,0,64,0,0,NaN,95
456,NaN,NaN,NaN,,,,,,,,,NaN,
457,NaN,NaN,NaN,1,20,0,64,0,64,0,0,NaN,95
458,NaN,NaN,NaN,,,,,,,,,NaN,
459,NaN,NaN,NaN,1,20,0,64,0,65,0,0,NaN,94
460,NaN,NaN,NaN,,,,,,,,,NaN,
461,NaN,NaN,NaN,1,20,0,64,0,65,0,0,NaN,94
462,NaN,NaN,NaN,,,,,,,,,NaN,
