time,SNUADC/CVP,Solar8000/ETCO2,SNUADC/ART,Solar8000/ART_SBP,Solar8000/HR,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,Solar8000/ART_MBP,Solar8000/RR_CO2,Solar8000/PLETH_HR,Solar8000/ART_DBP,Solar8000/CVP,SNUADC/ECG_II
294,NaN,,NaN,-17,66,100,NaN,-17,,67,-17,-38,NaN
295,NaN,,NaN,,,,NaN,,,,,,NaN
296,NaN,,NaN,-17,65,100,NaN,-17,,66,-17,-38,NaN
297,NaN,,NaN,,,,NaN,,,,,,NaN
298,NaN,,NaN,-17,64,100,NaN,-17,,65,-17,-38,NaN
299,NaN,,NaN,,,,NaN,,,,,,NaN
300,NaN,,NaN,-17,62,100,NaN,-17,,63,-17,-38,NaN
301,NaN,,NaN,,,,NaN,,,,,,NaN
302,NaN,,NaN,-17,61,100,NaN,-17,,62,-17,-38,NaN
303,NaN,,NaN,,,,NaN,,,,,,NaN
304,NaN,,NaN,-17,59,100,NaN,-17,,61,-17,-38,NaN
305,NaN,,NaN,,,,NaN,,,,,,NaN
306,NaN,,NaN,-17,58,100,NaN,-17,,59,-17,-38,NaN
307,NaN,,NaN,,,,NaN,,,,,,NaN
308,NaN,,NaN,-17,58,100,NaN,-17,,59,-17,-38,NaN
309,NaN,,NaN,,,,NaN,,,,,,NaN
310,NaN,,NaN,-17,57,100,NaN,-17,,58,-17,-37,NaN
311,NaN,,NaN,,,,NaN,,,,,,NaN
312,NaN,,NaN,-17,57,100,NaN,-17,,57,-17,-37,NaN
313,NaN,,NaN,,,,NaN,,,,,,NaN
314,NaN,,NaN,-17,56,100,NaN,-17,,56,-17,-38,NaN
315,NaN,,NaN,,,,NaN,,,,,,NaN
316,NaN,,NaN,-14,55,100,NaN,-17,,56,-19,-38,NaN
317,NaN,,NaN,,,,NaN,,,,,,NaN
318,NaN,,NaN,-15,55,100,NaN,-17,,55,-18,-39,NaN
319,NaN,,NaN,,,,NaN,,,,,,NaN
320,NaN,,NaN,-15,54,100,NaN,-17,,55,-18,-39,NaN
321,NaN,,NaN,,,,NaN,,,,,,NaN
322,NaN,,NaN,-14,54,100,NaN,-17,,55,-22,-39,NaN
323,NaN,,NaN,,,,NaN,,,,,,NaN
324,NaN,,NaN,-14,54,100,NaN,-17,,55,-22,-39,NaN
325,NaN,,NaN,,,,NaN,,,,,,NaN
