time,Solar8000/ART_DBP,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,SNUADC/ART,SNUADC/ECG_II,Solar8000/RR_CO2,Solar8000/ART_SBP,Solar8000/PLETH_HR,Solar8000/ETCO2,SNUADC/CVP,Solar8000/CVP,Solar8000/ART_MBP,Solar8000/HR
357,,,NaN,NaN,NaN,,,,,NaN,,,
358,-3,100,NaN,NaN,NaN,,-3,85,,NaN,-29,-3,83
359,,,NaN,NaN,NaN,,,,,NaN,,,
360,-3,100,NaN,NaN,NaN,,-3,85,,NaN,-29,-3,82
361,,,NaN,NaN,NaN,,,,,NaN,,,
362,-3,100,NaN,NaN,NaN,,-3,84,,NaN,-29,-3,81
363,,,NaN,NaN,NaN,,,,,NaN,,,
364,-3,100,NaN,NaN,NaN,,-3,84,,NaN,-28,-3,81
365,,,NaN,NaN,NaN,,,,,NaN,,,
366,-3,100,NaN,NaN,NaN,,-3,84,,NaN,-28,-3,81
367,,,NaN,NaN,NaN,,,,,NaN,,,
368,-3,100,NaN,NaN,NaN,,-3,83,,NaN,-28,-3,81
369,,,NaN,NaN,NaN,,,,,NaN,,,
370,-3,100,NaN,NaN,NaN,,-3,83,,NaN,-28,-3,79
371,,,NaN,NaN,NaN,,,,,NaN,,,
372,-3,100,NaN,NaN,NaN,,-3,82,,NaN,-28,-3,79
373,,,NaN,NaN,NaN,,,,,NaN,,,
374,-3,100,NaN,NaN,NaN,,-3,81,,NaN,-28,-3,78
375,,,NaN,NaN,NaN,,,,,NaN,,,
376,-3,100,NaN,NaN,NaN,,-3,81,,NaN,-28,-3,78
377,,,NaN,NaN,NaN,,,,,NaN,,,
378,-3,100,NaN,NaN,NaN,,-3,81,,NaN,-28,-3,78
379,,,NaN,NaN,NaN,,,,,NaN,,,
380,-3,100,NaN,NaN,NaN,,-3,81,,NaN,-28,-3,78
381,,,NaN,NaN,NaN,,,,,NaN,,,
382,-2,100,NaN,NaN,NaN,,-2,81,,NaN,-28,-2,77
383,,,NaN,NaN,NaN,,,,,NaN,,,
384,-2,100,NaN,NaN,NaN,,-2,81,,NaN,-28,-2,78
385,,,NaN,NaN,NaN,,,,,NaN,,,
386,-3,100,NaN,NaN,NaN,,-3,82,,NaN,-28,-3,79
387,,,NaN,NaN,NaN,,,,,NaN,,,
388,-3,100,NaN,NaN,NaN,,-3,82,,NaN,-28,-3,79
389,,,NaN,NaN,NaN,,,,,NaN,,,
390,-3,100,NaN,NaN,NaN,,-3,83,,NaN,-29,-3,80
391,,,NaN,NaN,NaN,,,,,NaN,,,
392,-3,100,NaN,NaN,NaN,,-3,83,,NaN,-29,-3,81
393,,,NaN,NaN,NaN,,,,,NaN,,,
394,-3,100,NaN,NaN,NaN,,-3,83,,NaN,-28,-3,80
395,,,NaN,NaN,NaN,,,,,NaN,,,
396,-8,100,NaN,NaN,NaN,,8,83,,NaN,-28,-3,79
397,,,NaN,NaN,NaN,,,,,NaN,,,
398,-8,100,NaN,NaN,NaN,,8,82,,NaN,-28,-3,79
399,,,NaN,NaN,NaN,,,,,NaN,,,
400,-3,100,NaN,NaN,NaN,,-3,82,,NaN,-28,-3,80
401,,,NaN,NaN,NaN,,,,,NaN,,,
402,-3,100,NaN,NaN,NaN,,-3,83,,NaN,-28,-3,82
403,,,NaN,NaN,NaN,,,,,NaN,,,
404,-3,100,NaN,NaN,NaN,,-3,85,,NaN,-28,-3,83
405,,,NaN,NaN,NaN,,,,,NaN,,,
406,-3,100,NaN,NaN,NaN,,-3,86,,NaN,-28,-3,84
407,,,NaN,NaN,NaN,,,,,NaN,,,
408,-3,100,NaN,NaN,NaN,,-3,86,,NaN,-28,-3,84
409,,,NaN,NaN,NaN,,,,,NaN,,,
410,-3,100,NaN,NaN,NaN,,-3,87,,NaN,-28,-3,84
411,,,NaN,NaN,NaN,,,,,NaN,,,
