time,SNUADC/CVP,Solar8000/ART_MBP,Solar8000/ETCO2,Solar8000/PLETH_HR,Solar8000/PLETH_SPO2,Solar8000/HR,SNUADC/ECG_II,Solar8000/ART_SBP,SNUADC/ART,Solar8000/RR_CO2,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/CVP
129,NaN,-3,,86,99,85,NaN,-3,NaN,,-3,NaN,-48
130,NaN,,,,,,NaN,,NaN,,,NaN,
131,NaN,-3,,86,99,85,NaN,-3,NaN,,-3,NaN,-48
132,NaN,,,,,,NaN,,NaN,,,NaN,
133,NaN,-3,,85,99,85,NaN,-3,NaN,,-3,NaN,-48
134,NaN,,,,,,NaN,,NaN,,,NaN,
135,NaN,-3,,85,99,84,NaN,-3,NaN,,-3,NaN,-48
136,NaN,,,,,,NaN,,NaN,,,NaN,
137,NaN,-3,,84,100,83,NaN,-3,NaN,,-3,NaN,-48
138,NaN,,,,,,NaN,,NaN,,,NaN,
139,NaN,-3,,84,100,83,NaN,-3,NaN,,-3,NaN,-48
140,NaN,,,,,,NaN,,NaN,,,NaN,
141,NaN,-3,,84,100,84,NaN,-3,NaN,,-3,NaN,-48
142,NaN,,,,,,NaN,,NaN,,,NaN,
143,NaN,-3,,85,99,84,NaN,-3,NaN,,-3,NaN,-47
144,NaN,,,,,,NaN,,NaN,,,NaN,
145,NaN,-3,,85,99,85,NaN,-3,NaN,,-3,NaN,-47
146,NaN,,,,,,NaN,,NaN,,,NaN,
147,NaN,-3,,86,99,85,NaN,-3,NaN,,-3,NaN,-47
148,NaN,,,,,,NaN,,NaN,,,NaN,
149,NaN,-3,,86,99,85,NaN,-3,NaN,,-3,NaN,-47
150,NaN,,,,,,NaN,,NaN,,,NaN,
151,NaN,-3,,86,99,85,NaN,-3,NaN,,-3,NaN,-48
152,NaN,,,,,,NaN,,NaN,,,NaN,
153,NaN,-3,,85,99,85,NaN,-3,NaN,,-3,NaN,-48
154,NaN,,,,,,NaN,,NaN,,,NaN,
155,NaN,-3,,85,99,85,NaN,-3,NaN,,-3,NaN,-48
156,NaN,,,,,,NaN,,NaN,,,NaN,
157,NaN,-3,,85,99,84,NaN,-3,NaN,,-3,NaN,-48
158,NaN,,,,,,NaN,,NaN,,,NaN,
159,NaN,-3,,85,99,85,NaN,-3,NaN,,-3,NaN,-48
160,NaN,,,,,,NaN,,NaN,,,NaN,
161,NaN,-3,,86,99,85,NaN,-3,NaN,,-3,NaN,-48
162,NaN,,,,,,NaN,,NaN,,,NaN,
163,NaN,-3,,86,99,86,NaN,-3,NaN,,-3,NaN,-48
164,NaN,,,,,,NaN,,NaN,,,NaN,
165,NaN,-3,,86,99,85,NaN,-3,NaN,,-3,NaN,-48
166,NaN,,,,,,NaN,,NaN,,,NaN,
167,NaN,-3,,86,99,85,NaN,-3,NaN,,-3,NaN,-48
168,NaN,,,,,,NaN,,NaN,,,NaN,
169,NaN,-3,,86,99,85,NaN,-3,NaN,,-3,NaN,-48
170,NaN,,,,,,NaN,,NaN,,,NaN,
171,NaN,-3,,86,99,85,NaN,-3,NaN,,-3,NaN,-48
172,NaN,,,,,,NaN,,NaN,,,NaN,
173,NaN,-3,,85,99,85,NaN,-3,NaN,,-3,NaN,-48
