time,Solar8000/ETCO2,SNUADC/ECG_II,Solar8000/CVP,SNUADC/CVP,Solar8000/PLETH_HR,SNUADC/ECG_V5,Solar8000/RR_CO2,Solar8000/PLETH_SPO2,Solar8000/ART_MBP,Solar8000/ART_DBP,Solar8000/ART_SBP,SNUADC/ART,Solar8000/HR
387,,NaN,,NaN,,NaN,,,,,,NaN,
388,40,NaN,-12,NaN,94,NaN,15,100,13,,,NaN,95
389,,NaN,,NaN,,NaN,,,,,,NaN,
390,39,NaN,-12,NaN,96,NaN,15,100,13,,,NaN,96
391,,NaN,,NaN,,NaN,,,,,,NaN,
392,39,NaN,-12,NaN,98,NaN,15,100,13,,,NaN,98
393,,NaN,,NaN,,NaN,,,,,,NaN,
394,39,NaN,-12,NaN,100,NaN,15,100,13,,,NaN,100
395,,NaN,,NaN,,NaN,,,,,,NaN,
396,39,NaN,-12,NaN,101,NaN,15,100,13,,,NaN,100
397,,NaN,,NaN,,NaN,,,,,,NaN,
398,40,NaN,-12,NaN,102,NaN,15,100,12,,,NaN,101
399,,NaN,,NaN,,NaN,,,,,,NaN,
400,40,NaN,-12,NaN,101,NaN,15,100,12,,,NaN,101
401,,NaN,,NaN,,NaN,,,,,,NaN,
402,40,NaN,-12,NaN,96,NaN,15,100,12,,,NaN,102
403,,NaN,,NaN,,NaN,,,,,,NaN,
404,40,NaN,-12,NaN,96,NaN,15,100,12,,,NaN,102
405,,NaN,,NaN,,NaN,,,,,,NaN,
406,40,NaN,-12,NaN,97,NaN,15,100,12,,,NaN,101
407,,NaN,,NaN,,NaN,,,,,,NaN,
408,40,NaN,-12,NaN,102,NaN,15,100,12,,,NaN,101
409,,NaN,,NaN,,NaN,,,,,,NaN,
410,40,NaN,-12,NaN,102,NaN,15,100,12,,,NaN,101
411,,NaN,,NaN,,NaN,,,,,,NaN,
412,40,NaN,-12,NaN,101,NaN,15,100,12,,,NaN,101
413,,NaN,,NaN,,NaN,,,,,,NaN,
414,40,NaN,-12,NaN,100,NaN,15,100,12,,,NaN,99
415,,NaN,,NaN,,NaN,,,,,,NaN,
416,40,NaN,-12,NaN,99,NaN,15,100,12,,,NaN,98
417,,NaN,,NaN,,NaN,,,,,,NaN,
418,40,NaN,-12,NaN,98,NaN,15,100,13,,,NaN,97
