time,Solar8000/PLETH_HR,Solar8000/RR_CO2,Solar8000/CVP,Solar8000/ART_SBP,SNUADC/ART,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/ART_MBP,SNUADC/CVP,Solar8000/ETCO2,Solar8000/HR,SNUADC/ECG_II,Solar8000/PLETH_SPO2
182,108,,-6,-8,NaN,-8,NaN,-8,NaN,0,96,NaN,100
183,,,,,NaN,,NaN,,NaN,,,NaN,
184,103,,-6,-9,NaN,-9,NaN,-9,NaN,0,94,NaN,100
185,,,,,NaN,,NaN,,NaN,,,NaN,
186,97,,-6,-9,NaN,-9,NaN,-9,NaN,0,96,NaN,100
187,,,,,NaN,,NaN,,NaN,,,NaN,
188,96,,-6,-8,NaN,-8,NaN,-8,NaN,0,99,NaN,100
189,,,,,NaN,,NaN,,NaN,,,NaN,
190,86,,-6,-8,NaN,-8,NaN,-8,NaN,0,104,NaN,100
191,,,,,NaN,,NaN,,NaN,,,NaN,
192,81,,-6,-9,NaN,-9,NaN,-9,NaN,0,109,NaN,100
193,,,,,NaN,,NaN,,NaN,,,NaN,
194,81,,-6,-8,NaN,-8,NaN,-8,NaN,0,104,NaN,100
195,,,,,NaN,,NaN,,NaN,,,NaN,
196,77,,-6,-8,NaN,-8,NaN,-8,NaN,0,103,NaN,100
197,,,,,NaN,,NaN,,NaN,,,NaN,
198,77,,-6,-8,NaN,-8,NaN,-8,NaN,0,107,NaN,100
199,,,,,NaN,,NaN,,NaN,,,NaN,
200,75,,-6,-8,NaN,-8,NaN,-8,NaN,0,112,NaN,100
201,,,,,NaN,,NaN,,NaN,,,NaN,
202,75,,-6,-8,NaN,-8,NaN,-8,NaN,0,96,NaN,100
203,,,,,NaN,,NaN,,NaN,,,NaN,
204,78,,-6,-9,NaN,-9,NaN,-9,NaN,0,99,NaN,100
205,,,,,NaN,,NaN,,NaN,,,NaN,
206,82,,-6,-9,NaN,-9,NaN,-9,NaN,0,104,NaN,100
207,,,,,NaN,,NaN,,NaN,,,NaN,
208,85,,-6,-9,NaN,-9,NaN,-9,NaN,0,95,NaN,100
209,,,,,NaN,,NaN,,NaN,,,NaN,
210,84,,-6,-8,NaN,-8,NaN,-8,NaN,0,92,NaN,100
211,,,,,NaN,,NaN,,NaN,,,NaN,
212,84,,-6,-8,NaN,-8,NaN,-8,NaN,0,90,NaN,100
213,,,,,NaN,,NaN,,NaN,,,NaN,
214,87,,-6,-8,NaN,-8,NaN,-8,NaN,0,100,NaN,100
215,,,,,NaN,,NaN,,NaN,,,NaN,
216,86,,-6,-8,NaN,-8,NaN,-8,NaN,0,105,NaN,100
217,,,,,NaN,,NaN,,NaN,,,NaN,
218,82,,-6,-8,NaN,-8,NaN,-8,NaN,0,107,NaN,100
219,,,,,NaN,,NaN,,NaN,,,NaN,
220,81,,-6,-9,NaN,-9,NaN,-9,NaN,0,95,NaN,100
221,,,,,NaN,,NaN,,NaN,,,NaN,
222,89,,-5,-8,NaN,-8,NaN,-8,NaN,0,101,NaN,100
223,,,,,NaN,,NaN,,NaN,,,NaN,
224,98,,-5,-8,NaN,-8,NaN,-8,NaN,0,109,NaN,100
225,,,,,NaN,,NaN,,NaN,,,NaN,
226,98,,-5,-8,NaN,-8,NaN,-8,NaN,0,103,NaN,100
227,,,,,NaN,,NaN,,NaN,,,NaN,
228,101,,-5,-8,NaN,-8,NaN,-8,NaN,0,111,NaN,100
229,,,,,NaN,,NaN,,NaN,,,NaN,
230,98,,-6,-9,NaN,-9,NaN,-9,NaN,0,116,NaN,100
231,,,,,NaN,,NaN,,NaN,,,NaN,
232,92,,-6,-9,NaN,-9,NaN,-9,NaN,0,110,NaN,100
233,,,,,NaN,,NaN,,NaN,,,NaN,
234,88,,-6,-9,NaN,-9,NaN,-9,NaN,0,102,NaN,100
235,,,,,NaN,,NaN,,NaN,,,NaN,
236,92,,-6,-9,NaN,-9,NaN,-9,NaN,0,99,NaN,100
237,,,,,NaN,,NaN,,NaN,,,NaN,
238,103,,-5,-9,NaN,-9,NaN,-9,NaN,0,110,NaN,100
239,,,,,NaN,,NaN,,NaN,,,NaN,
240,103,,-5,-8,NaN,-8,NaN,-8,NaN,0,101,NaN,100
241,,,,,NaN,,NaN,,NaN,,,NaN,
242,101,,-6,-8,NaN,-8,NaN,-8,NaN,0,96,NaN,100
243,,,,,NaN,,NaN,,NaN,,,NaN,
244,103,,-6,-8,NaN,-8,NaN,-8,NaN,0,104,NaN,100
245,,,,,NaN,,NaN,,NaN,,,NaN,
246,99,,-6,-9,NaN,-9,NaN,-9,NaN,0,109,NaN,100
247,,,,,NaN,,NaN,,NaN,,,NaN,
248,97,,-6,-9,NaN,-9,NaN,-9,NaN,0,107,NaN,100
249,,,,,NaN,,NaN,,NaN,,,NaN,
250,96,,-6,-9,NaN,-9,NaN,-9,NaN,0,110,NaN,100
251,,,,,NaN,,NaN,,NaN,,,NaN,
252,85,,-5,-9,NaN,-9,NaN,-9,NaN,0,112,NaN,100
253,,,,,NaN,,NaN,,NaN,,,NaN,
254,79,,-5,-9,NaN,-9,NaN,-9,NaN,0,102,NaN,100
255,,,,,NaN,,NaN,,NaN,,,NaN,
256,79,,-5,-9,NaN,-9,NaN,-9,NaN,0,96,NaN,100
257,,,,,NaN,,NaN,,NaN,,,NaN,
258,77,,-5,-8,NaN,-8,NaN,-8,NaN,0,97,NaN,100
259,,,,,NaN,,NaN,,NaN,,,NaN,
260,76,,-6,-8,NaN,-8,NaN,-8,NaN,0,101,NaN,100
261,,,,,NaN,,NaN,,NaN,,,NaN,
262,79,,-6,-8,NaN,-8,NaN,-8,NaN,0,96,NaN,100
263,,,,,NaN,,NaN,,NaN,,,NaN,
264,80,,-6,-8,NaN,-8,NaN,-8,NaN,0,93,NaN,100
265,,,,,NaN,,NaN,,NaN,,,NaN,
266,89,,-6,-8,NaN,-8,NaN,-8,NaN,0,88,NaN,100
267,,,,,NaN,,NaN,,NaN,,,NaN,
268,91,,-6,-8,NaN,-8,NaN,-8,NaN,0,97,NaN,100
269,,,,,NaN,,NaN,,NaN,,,NaN,
270,92,,-6,-8,NaN,-8,NaN,-8,NaN,0,93,NaN,100
271,,,,,NaN,,NaN,,NaN,,,NaN,
272,91,,-6,-8,NaN,-8,NaN,-8,NaN,0,89,NaN,100
273,,,,,NaN,,NaN,,NaN,,,NaN,
