time,Solar8000/ART_MBP,Solar8000/ETCO2,SNUADC/ART,SNUADC/ECG_II,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/PLETH_HR,Solar8000/HR,SNUADC/ECG_V5,Solar8000/ART_SBP,Solar8000/PLETH_SPO2,Solar8000/CVP,SNUADC/CVP
148,-7,0,NaN,NaN,-7,,49,47,NaN,-7,100,-7,NaN
149,,,NaN,NaN,,,,,NaN,,,,NaN
150,-7,0,NaN,NaN,-7,,48,47,NaN,-7,100,-7,NaN
151,,,NaN,NaN,,,,,NaN,,,,NaN
152,-6,0,NaN,NaN,-6,,48,46,NaN,-6,100,-7,NaN
153,,,NaN,NaN,,,,,NaN,,,,NaN
154,-6,0,NaN,NaN,-6,,47,47,NaN,-6,100,-7,NaN
155,,,NaN,NaN,,,,,NaN,,,,NaN
156,-6,0,NaN,NaN,-6,,47,47,NaN,-6,100,-7,NaN
157,,,NaN,NaN,,,,,NaN,,,,NaN
158,-6,0,NaN,NaN,-6,,47,47,NaN,-6,100,-7,NaN
159,,,NaN,NaN,,,,,NaN,,,,NaN
160,-7,0,NaN,NaN,-7,,47,47,NaN,-7,100,-7,NaN
161,,,NaN,NaN,,,,,NaN,,,,NaN
162,-7,0,NaN,NaN,-7,,47,47,NaN,-7,100,-7,NaN
163,,,NaN,NaN,,,,,NaN,,,,NaN
164,-7,0,NaN,NaN,-7,,48,47,NaN,-7,100,-7,NaN
165,,,NaN,NaN,,,,,NaN,,,,NaN
166,-7,0,NaN,NaN,-7,,48,47,NaN,-7,100,-7,NaN
167,,,NaN,NaN,,,,,NaN,,,,NaN
168,-7,0,NaN,NaN,-7,,48,47,NaN,-7,100,-7,NaN
169,,,NaN,NaN,,,,,NaN,,,,NaN
170,-7,0,NaN,NaN,-7,,48,47,NaN,-7,100,-7,NaN
171,,,NaN,NaN,,,,,NaN,,,,NaN
172,-7,0,NaN,NaN,-7,,48,47,NaN,-7,100,-7,NaN
173,,,NaN,NaN,,,,,NaN,,,,NaN
174,-7,0,NaN,NaN,-9,,48,47,NaN,-7,100,-7,NaN
175,,,NaN,NaN,,,,,NaN,,,,NaN
176,-7,0,NaN,NaN,-9,,48,47,NaN,-7,100,-7,NaN
177,,,NaN,NaN,,,,,NaN,,,,NaN
178,-7,0,NaN,NaN,-7,,48,47,NaN,-7,100,-7,NaN
179,,,NaN,NaN,,,,,NaN,,,,NaN
180,-7,0,NaN,NaN,-7,,48,47,NaN,-7,100,-7,NaN
181,,,NaN,NaN,,,,,NaN,,,,NaN
182,-7,0,NaN,NaN,-7,,48,47,NaN,-7,100,-7,NaN
183,,,NaN,NaN,,,,,NaN,,,,NaN
184,-7,0,NaN,NaN,-7,,48,47,NaN,-7,100,-7,NaN
185,,,NaN,NaN,,,,,NaN,,,,NaN
186,-8,0,NaN,NaN,-8,,48,,NaN,-8,100,-6,NaN
187,,,NaN,NaN,,,,,NaN,,,,NaN
188,-8,0,NaN,NaN,-9,,48,,NaN,-6,100,-6,NaN
189,,,NaN,NaN,,,,,NaN,,,,NaN
190,-8,0,NaN,NaN,-9,,49,,NaN,-6,100,-6,NaN
191,,,NaN,NaN,,,,,NaN,,,,NaN
192,-8,0,NaN,NaN,-8,,49,,NaN,-8,100,-6,NaN
193,,,NaN,NaN,,,,,NaN,,,,NaN
194,-8,0,NaN,NaN,-8,,49,55,NaN,-8,100,-6,NaN
195,,,NaN,NaN,,,,,NaN,,,,NaN
196,-7,0,NaN,NaN,-7,,49,55,NaN,-7,100,-7,NaN
197,,,NaN,NaN,,,,,NaN,,,,NaN
198,-7,0,NaN,NaN,-7,,49,55,NaN,-7,100,-7,NaN
199,,,NaN,NaN,,,,,NaN,,,,NaN
200,-7,0,NaN,NaN,-7,,50,56,NaN,-7,100,-7,NaN
201,,,NaN,NaN,,,,,NaN,,,,NaN
202,-7,0,NaN,NaN,-7,,50,52,NaN,-7,100,-7,NaN
203,,,NaN,NaN,,,,,NaN,,,,NaN
204,-7,0,NaN,NaN,-7,,50,49,NaN,-7,100,-7,NaN
205,,,NaN,NaN,,,,,NaN,,,,NaN
206,-7,0,NaN,NaN,-7,,50,50,NaN,-7,100,-7,NaN
207,,,NaN,NaN,,,,,NaN,,,,NaN
208,-6,0,NaN,NaN,-6,,50,50,NaN,-6,100,-7,NaN
209,,,NaN,NaN,,,,,NaN,,,,NaN
210,-6,0,NaN,NaN,-6,,50,50,NaN,-6,100,-7,NaN
211,,,NaN,NaN,,,,,NaN,,,,NaN
212,-7,30,NaN,NaN,-7,,50,50,NaN,-7,100,-7,NaN
213,,,NaN,NaN,,,,,NaN,,,,NaN
214,-7,30,NaN,NaN,-7,,51,51,NaN,-7,100,-7,NaN
215,,,NaN,NaN,,,,,NaN,,,,NaN
216,-7,30,NaN,NaN,-7,,51,51,NaN,-7,100,-7,NaN
217,,,NaN,NaN,,,,,NaN,,,,NaN
218,-7,,NaN,NaN,-7,,51,52,NaN,-7,100,-7,NaN
219,,,NaN,NaN,,,,,NaN,,,,NaN
220,-7,,NaN,NaN,-7,,52,55,NaN,-7,100,-7,NaN
221,,,NaN,NaN,,,,,NaN,,,,NaN
222,-7,,NaN,NaN,-7,,52,53,NaN,-7,100,-7,NaN
223,,,NaN,NaN,,,,,NaN,,,,NaN
224,-7,,NaN,NaN,-7,,52,53,NaN,-7,100,-7,NaN
225,,,NaN,NaN,,,,,NaN,,,,NaN
226,-7,,NaN,NaN,-7,,52,53,NaN,-7,100,-7,NaN
227,,,NaN,NaN,,,,,NaN,,,,NaN
228,-7,,NaN,NaN,-7,,53,57,NaN,-7,100,-7,NaN
229,,,NaN,NaN,,,,,NaN,,,,NaN
230,-7,,NaN,NaN,-7,,52,67,NaN,-7,100,-6,NaN
231,,,NaN,NaN,,,,,NaN,,,,NaN
232,-7,,NaN,NaN,-7,,52,66,NaN,-7,100,-6,NaN
233,,,NaN,NaN,,,,,NaN,,,,NaN
234,-7,,NaN,NaN,-7,,51,65,NaN,-7,100,-6,NaN
235,,,NaN,NaN,,,,,NaN,,,,NaN
236,-7,,NaN,NaN,-7,,50,65,NaN,-7,100,-6,NaN
237,,,NaN,NaN,,,,,NaN,,,,NaN
238,-7,,NaN,NaN,-7,,49,57,NaN,-7,100,-6,NaN
239,,,NaN,NaN,,,,,NaN,,,,NaN
240,-7,,NaN,NaN,-7,,48,52,NaN,-7,100,-6,NaN
241,,,NaN,NaN,,,,,NaN,,,,NaN
242,-7,,NaN,NaN,-7,,48,47,NaN,-7,100,-6,NaN
243,,,NaN,NaN,,,,,NaN,,,,NaN
244,-7,,NaN,NaN,-7,,48,46,NaN,-7,100,-6,NaN
245,,,NaN,NaN,,,,,NaN,,,,NaN
246,-7,,NaN,NaN,-7,,47,46,NaN,-7,100,-6,NaN
247,,,NaN,NaN,,,,,NaN,,,,NaN
248,-7,,NaN,NaN,-7,,47,46,NaN,-7,100,-6,NaN
249,,,NaN,NaN,,,,,NaN,,,,NaN
250,-7,,NaN,NaN,-7,,47,46,NaN,-7,100,-7,NaN
251,,,NaN,NaN,,,,,NaN,,,,NaN
252,-7,,NaN,NaN,-7,,47,47,NaN,-7,100,-7,NaN
253,,,NaN,NaN,,,,,NaN,,,,NaN
254,-7,,NaN,NaN,-7,,47,47,NaN,-7,100,-7,NaN
255,,,NaN,NaN,,,,,NaN,,,,NaN
256,-7,,NaN,NaN,-7,,47,47,NaN,-7,100,-7,NaN
257,,,NaN,NaN,,,,,NaN,,,,NaN
258,-7,,NaN,NaN,-7,,47,46,NaN,-7,100,-7,NaN
259,,,NaN,NaN,,,,,NaN,,,,NaN
260,-8,,NaN,NaN,-8,,47,46,NaN,-8,100,-7,NaN
261,,,NaN,NaN,,,,,NaN,,,,NaN
262,-8,,NaN,NaN,-8,,47,46,NaN,-8,100,-7,NaN
263,,,NaN,NaN,,,,,NaN,,,,NaN
264,-7,,NaN,NaN,-7,,47,46,NaN,-7,100,-7,NaN
265,,,NaN,NaN,,,,,NaN,,,,NaN
266,-7,,NaN,NaN,-7,,47,46,NaN,-7,100,-7,NaN
267,,,NaN,NaN,,,,,NaN,,,,NaN
268,-7,,NaN,NaN,-7,,47,46,NaN,-7,100,-7,NaN
269,,,NaN,NaN,,,,,NaN,,,,NaN
270,-7,,NaN,NaN,-7,,47,46,NaN,-7,100,-7,NaN
271,,,NaN,NaN,,,,,NaN,,,,NaN
272,-7,,NaN,NaN,-7,,47,46,NaN,-7,100,-7,NaN
273,,,NaN,NaN,,,,,NaN,,,,NaN
274,-7,,NaN,NaN,-7,,47,46,NaN,-7,100,-7,NaN
275,,,NaN,NaN,,,,,NaN,,,,NaN
276,-7,,NaN,NaN,-7,,47,46,NaN,-7,100,-6,NaN
277,,,NaN,NaN,,,,,NaN,,,,NaN
278,-7,,NaN,NaN,-7,,47,46,NaN,-7,100,-6,NaN
279,,,NaN,NaN,,,,,NaN,,,,NaN
280,-7,,NaN,NaN,-7,,47,45,NaN,-7,100,-6,NaN
281,,,NaN,NaN,,,,,NaN,,,,NaN
282,-7,,NaN,NaN,-7,,46,46,NaN,-7,100,-6,NaN
283,,,NaN,NaN,,,,,NaN,,,,NaN
284,-7,,NaN,NaN,-7,,46,46,NaN,-7,100,-6,NaN
285,,,NaN,NaN,,,,,NaN,,,,NaN
286,-7,,NaN,NaN,-9,,46,46,NaN,-6,100,-6,NaN
287,,,NaN,NaN,,,,,NaN,,,,NaN
288,-7,,NaN,NaN,-9,,,46,NaN,-6,,-6,NaN
289,,,NaN,NaN,,,,,NaN,,,,NaN
290,-7,,NaN,NaN,-7,,,46,NaN,-7,,-6,NaN
291,,,NaN,NaN,,,,,NaN,,,,NaN
292,-7,,NaN,NaN,-7,,,46,NaN,-7,,-6,NaN
293,,,NaN,NaN,,,,,NaN,,,,NaN
294,-7,,NaN,NaN,-7,,,46,NaN,-7,,-6,NaN
295,,,NaN,NaN,,,,,NaN,,,,NaN
296,-7,,NaN,NaN,-7,,,46,NaN,-7,,-6,NaN
297,,,NaN,NaN,,,,,NaN,,,,NaN
298,-8,,NaN,NaN,-8,,,46,NaN,-8,,-6,NaN
